Milliseconds,X,Y,Z
4,0.9499466,0.36808166,9.753381
28,0.63611907,0.39423522,9.45286
52,0.42692107,0.4203888,9.261615
77,1.1852982,0.7603394,10.518345
102,0.8714859,-0.07649842,9.780688
128,0.34847564,0.5249878,11.3379545
152,0.2961685,-0.18109742,9.971933
177,0.4007675,-0.23340455,10.491022
203,0.7668869,0.3419281,10.57299
227,0.42692107,-0.18109742,9.589459
252,0.923793,-0.10265198,8.496635
278,0.5838272,0.39423522,9.780704
302,0.21770783,0.9957062,10.682267
327,0.060801696,0.18502197,8.715203
352,0.5838272,0.78649294,9.671412
378,0.45307463,-0.18109742,9.562136
402,0.32232207,0.054269403,10.381746
427,0.60998076,0.47268066,10.600314
453,0.81917876,-0.02419129,10.026579
477,0.53152007,0.5511414,10.081225
502,0.9499466,0.2373291,10.928158
528,0.71457976,0.6295868,10.955464
552,0.66227263,0.44654235,8.168792
578,0.50538176,0.5772797,8.851802
602,0.7407333,-0.10265198,9.152323
627,0.66227263,0.9433991,10.081225
653,0.66227263,0.028115839,9.999256
677,0.6361343,0.028115839,10.026579
702,0.7407333,0.96955264,9.671412
728,1.1591446,0.47268066,9.753381
752,0.55767363,0.2634674,9.971933
778,0.81917876,0.47268066,8.933771
802,0.81917876,0.31577453,8.551281
827,1.1329911,0.5511414,10.026579
852,0.50538176,0.054269403,10.900835
878,0.71457976,0.39423522,10.654943
902,0.7668869,0.18502197,9.753381
928,0.3223068,0.054269403,10.818866
952,0.66227263,0.26348266,9.999256
977,0.7930252,0.5511414,9.616782
1002,0.66227263,0.4203888,8.851802
1028,0.81917876,0.28962097,9.1796465
1052,0.8453323,0.2373291,9.043047
1077,0.9499313,0.31577453,9.780704
1103,0.34846038,0.21117553,10.3271
1127,0.7407333,0.31577453,9.944626
1152,0.7668869,0.8388001,10.627621
1177,0.81917876,0.31577453,9.835334
1203,0.6361343,0.36808166,10.409069
1227,0.50538176,0.5511414,9.808027
1253,0.34847564,0.49883422,9.753381
1277,0.4792282,-0.15494385,9.152323
1302,0.66227263,0.68189394,9.671412
1327,0.66227263,0.054254144,9.50749
1353,1.0545456,0.78649294,10.76422
1377,1.3160508,0.68189394,9.45286
1402,1.2637436,0.36808166,9.835334
1428,0.7930252,0.8911072,9.999256
1452,0.4792282,-0.050344855,9.07037
1477,1.0806992,0.21117553,9.370892
1502,0.81917876,0.4203888,8.414666
1528,0.9760849,0.1588684,10.299793
1552,1.0545456,0.60343325,9.835334
1577,0.9760849,0.28962097,10.081225
1602,0.89763945,0.39423522,10.518345
1628,0.19155426,0.08040771,10.2724695
1652,1.1591446,0.57729495,10.190501
1677,0.79304045,0.42037353,9.616782
1702,0.9499466,0.57729495,9.043047
1728,0.89763945,0.5249878,9.862657
1752,0.923793,0.68189394,10.217824
1777,0.6361343,0.5511414,10.381746
1802,0.45307463,0.47268066,10.354423
1827,0.34846038,0.7342011,10.381746
1853,0.42692107,0.36808166,9.370892
1877,0.1392624,-0.15494385,9.097693
1902,0.11310883,-0.5472168,9.316245
1928,0.89763945,0.26348266,8.442005
1952,0.81917876,0.28962097,9.862657
1977,0.71457976,0.4465271,10.3271
2002,0.71457976,0.36808166,9.644089
2027,0.7407333,0.39423522,9.370892
2053,0.8714859,0.5249878,10.791543
2077,0.923793,0.028115839,9.343568
2102,1.0806992,0.28962097,10.217824
2127,0.923793,-0.23340455,8.824479
2153,0.63611907,0.78649294,9.589459
2177,0.27001494,-1.0963806,10.108548
2203,0.71457976,0.49883422,9.917303
2227,0.4007675,-1.0179352,10.491022
2253,1.0283921,1.2572113,10.053902
2277,0.2961685,-0.6256622,9.944626
2302,0.6361343,0.36808166,9.698735
2328,0.42692107,-0.20725098,10.57299
2352,1.1591446,1.1264588,8.30539
2377,0.5838272,-0.28571168,8.5785885
2402,0.71457976,0.36808166,10.600314
2428,0.5053665,-1.070227,8.414666
2452,0.5838272,0.1588684,10.135871
2477,0.19156952,-0.5472168,9.88998
2503,0.6884262,0.4203888,10.627621
2527,1.0806992,0.2373291,10.463699
2552,1.2114518,0.6557404,10.217824
2578,0.79304045,0.2373291,9.015724
2602,0.5838272,0.57729495,9.835334
2627,0.03464813,-0.31184998,9.589459
2652,0.81917876,0.18502197,9.480167
2678,1.1329911,0.28962097,9.398214
2702,1.1068528,0.028115839,9.644089
2727,0.5053665,0.39423522,10.217824
2752,0.89763945,0.49883422,10.217824
2778,1.3945115,0.47268066,9.698735
2802,0.71457976,0.4203888,10.026579
2827,0.21770783,0.21117553,10.682267
2853,0.34847564,0.21117553,10.217824
2877,0.4007675,0.2373291,9.971933
2902,0.53152007,-0.20725098,9.971933
2928,0.79304045,0.054269403,10.081225
2952,0.4792282,0.39423522,9.50749
2978,0.5053665,0.028115839,8.769834
3002,0.11310883,0.31577453,9.780704
3027,0.086955264,0.08042297,10.217824
3053,0.50538176,0.21117553,10.3271
3077,0.9760849,0.78649294,9.316261
3103,1.0806992,0.96955264,9.88998
3127,1.2637589,0.18502197,9.480167
3152,1.0545456,0.78649294,9.999256
3178,0.89763945,0.49883422,10.846189
3202,1.1329911,0.7603394,10.245147
3228,1.1329911,0.42037353,11.037434
3252,1.3422043,0.78649294,10.70959
3277,1.420665,0.60343325,10.491022
3303,0.7407333,0.7080475,9.862657
3327,0.5838272,-0.10265198,10.2724695
3352,0.32232207,0.47268066,10.217824
3377,0.55767363,0.49883422,9.015724
3403,0.9499466,0.7341858,9.234292
3427,0.4792282,0.6557404,8.769834
3453,0.55767363,0.36808166,8.660558
3477,0.9499466,0.5511414,10.7642355
3502,1.1329911,0.6295868,10.026579
3528,0.6361343,0.36808166,10.736913
3552,0.923793,0.78649294,10.627621
3577,1.2376053,1.1264588,10.928158
3602,1.1852982,0.49883422,9.50749
3628,0.9760849,1.335672,9.780704
3652,0.71457976,0.6295868,9.50749
3677,0.16541596,0.6295868,9.043047
3703,0.42692107,0.68189394,8.414666
3727,0.16541596,-0.12879029,8.223421
3752,0.5838272,0.21117553,9.425537
3778,0.060801696,-0.4687561,8.961079
3802,0.19155426,0.2373291,8.715203
3828,-0.33147126,-0.10265198,9.261615
3852,0.60998076,0.60343325,9.50749
3877,0.55767363,0.21117553,8.332713
3903,0.79304045,1.8063904,11.365277
3927,0.34846038,0.8388001,10.081225
3952,0.923793,1.2049195,8.5785885
3978,1.3160508,1.440271,10.299777
4002,1.4468033,1.1003052,10.381746
4027,1.1329911,0.31577453,10.163178
4053,0.9760849,0.36808166,9.753381
4077,1.4729569,0.49883422,10.135855
4102,1.917537,0.39423522,8.114145
4128,1.3945115,0.5249878,9.370892
4152,1.2898972,0.6034485,9.999256
4177,1.4729569,0.31577453,11.3379545
4202,1.0022385,-0.18109742,10.491022
4228,0.24386139,0.28963622,10.081225
4252,0.923793,0.08040771,10.518345
4277,0.6884262,0.6295868,9.88998
4303,1.1068528,1.1264588,9.671412
4327,0.45307463,0.8911072,9.2889385
4352,-0.09610443,-0.5210632,8.715203
4378,1.4729569,2.5386138,11.010111
4402,0.3223068,0.36808166,9.452844
4427,1.5775559,1.0741516,10.354423
4453,0.819194,1.1003052,11.256001
4477,-0.017658997,0.44654235,11.365277
4502,-0.017658997,0.4203888,6.584202
4528,0.24386139,0.6557404,10.381746
4552,-0.17456512,-0.44260255,11.44723
4577,0.1392624,0.18502197,8.851802
4603,0.8453323,1.0218598,8.769834
4627,0.060801696,0.60343325,13.03182
4652,1.1591446,1.7540833,8.551281
4678,1.4468033,-0.59950864,8.523958
4702,1.6821702,1.7017761,12.64933
4727,1.5775712,0.78649294,9.07037
4752,0.6884262,1.9109894,8.742526
4778,3.6434891,-0.23340455,11.419924
4802,1.2898972,1.5448853,9.097677
4827,1.2898972,1.3095185,8.414666
4852,0.9499466,1.3879639,11.201356
4878,0.45307463,1.3095185,11.174033
4902,0.4007675,1.8586823,10.163178
4927,0.11310883,0.68189394,7.2125826
4952,-0.04381256,0.0019622743,9.152323
4978,0.5838272,2.198648,11.775075
5002,0.923793,0.5249878,7.6223793
5027,0.34846038,0.78649294,10.3271
5052,-0.14841156,2.1202025,11.96632
5078,0.16541596,0.26348266,8.250745
5102,0.45307463,1.937143,11.064756
5128,0.1392624,-0.41646424,7.3765044
5152,1.6821702,3.7415557,12.4034395
5177,0.9760849,0.0019622743,8.30539
5203,0.9499466,1.832544,9.862657
5227,1.8390763,1.937143,12.212211
5252,0.79304045,1.4141175,10.190501
5278,0.6884262,1.8063904,11.583846
5302,0.4007675,0.5511414,9.534813
5327,0.086955264,0.49883422,6.638848
5353,0.4792282,2.6170592,10.409069
5377,0.4007675,0.6295868,9.097693
5402,0.060801696,0.2634674,9.50749
5428,0.2961685,1.5710236,9.589459
5452,-0.06995086,0.13271484,7.5677495
5477,0.008494567,1.1264588,11.993643
5502,0.53152007,0.78649294,10.982788
5528,0.55767363,0.7603394,7.8682704
5552,0.923793,1.54487,8.496635
5577,0.53152007,0.60343325,9.726058
5603,0.32232207,0.9957062,8.988401
5627,0.55767363,1.2572113,9.234292
5652,0.16541596,0.96955264,10.463699
5677,0.55767363,1.3618103,10.818866
5703,0.7407333,0.60343325,7.977546
5727,0.4792282,0.86495364,8.25076
5752,0.4792282,1.1526123,9.07037
5777,0.71457976,0.96955264,10.436376
5803,0.21770783,1.4925781,10.354423
5827,0.1392624,0.8911072,9.780704
5852,0.5838272,1.4141175,9.316245
5877,0.42692107,0.57729495,10.409069
5903,0.7407333,0.5511414,8.360036
5927,0.71457976,1.8586823,9.2889385
5953,-0.04381256,1.5187317,11.010111
5977,0.19156952,1.1787659,10.491022
6002,0.42692107,1.1787659,9.589459
