Milliseconds,X,Y,Z
5,-0.13001424,0.055249803,0.22630787
27,0.18911886,0.01935213,-0.5649433
52,-0.02003169,0.3445257,-0.52570915
78,-0.08899248,0.113602385,-0.38815117
102,0.35921127,0.26419538,0.42852974
127,-0.004496485,-0.017028466,-0.42305756
153,-0.066788584,0.10486548,0.87645245
177,-0.1531258,-0.4791214,0.29960155
202,0.038050056,-0.09518549,0.40802288
227,0.36647245,-0.31144923,-0.0057935715
252,0.1181221,0.00811585,-0.26338577
277,0.32113597,0.033935875,-0.5328646
302,0.12983963,0.11075673,-0.043348312
328,0.09190306,-0.113368995,-0.84006405
352,-0.10455549,0.17585987,-0.07755184
377,-0.056583732,0.09969291,0.42259693
403,-0.03523743,0.019830972,-0.21478653
427,-0.05924934,0.12687276,0.45267773
452,0.055980146,-0.05349475,0.060248375
477,0.18697307,0.023287311,0.11774063
502,-0.024659693,-0.0016925037,0.78646374
528,-0.21046281,-0.20953459,-0.27057934
552,-0.057232946,0.07146026,-0.46470547
578,0.19553888,0.16335355,-0.87306213
602,-0.15138987,0.27254796,0.0052404404
627,0.3097465,-0.003379479,-0.8152075
652,0.013832927,-0.15660913,-0.06149006
678,0.18865126,-0.040724188,0.43174934
702,0.21122265,-0.0028611273,0.8423033
727,0.19903845,0.17714374,0.26237774
753,0.25070095,0.05903031,-0.4749756
777,0.14611727,0.16345881,-0.3671465
802,0.04852009,-0.0993285,-0.82302284
827,0.0013502836,-0.05169098,-0.0124845505
853,0.08103615,-0.14364742,-0.035678864
877,-0.23776549,0.16760755,0.79265213
902,-0.1091004,-0.13731918,0.3934946
927,0.018257618,-0.037360534,0.04215622
953,-0.26998347,-0.14031416,0.4171734
977,0.1945746,-0.095282346,-0.24092579
1002,0.017583191,0.1102377,-0.05791092
1027,0.0076239705,-0.13436124,-0.37623692
1052,0.15649515,0.15284732,-0.12269211
1078,0.22566438,0.03259048,0.18685913
1102,0.002665162,-0.013517365,0.370636
1127,-0.27869743,-0.10927351,0.34886074
1153,-0.26889038,-0.052185953,0.38417912
1177,0.04420477,-0.106968015,0.22668457
1202,0.18770349,-0.11449136,-0.18676376
1227,0.06861073,0.02815999,0.287385
1253,-0.056047976,0.046790466,-0.4669361
1277,0.008194327,0.12862997,-0.20699406
1302,0.028155863,0.002889514,-0.4128561
1327,-0.03816414,0.17843744,-0.06022644
1352,-0.19670588,0.0054555982,0.342124
1377,0.22945601,-0.1536445,-0.12267971
1403,0.09114057,0.12314306,-0.44546032
1427,0.36331564,-0.03152643,-0.046722412
1453,0.16922158,-0.041131213,-0.3218584
1477,-0.09706414,-0.09578578,-0.11382103
1503,0.19644499,0.16250423,0.33018494
1527,0.24485785,-0.041644007,-0.40648174
1552,-0.19909662,-0.12088475,0.4582758
1578,-0.059040725,-0.083994955,0.10047054
1602,-0.017037034,-0.116462916,0.10841274
1627,0.10419762,0.12561728,0.2681389
1652,-0.4475304,-0.10828617,0.07160282
1678,0.31445223,0.13275295,0.27989292
1702,-0.122421086,-0.2392849,-0.295269
1727,0.04742825,-0.041680098,0.007760048
1753,-0.026029885,-0.19121465,0.14198208
1777,-0.12095189,-0.029087529,0.1207962
1802,0.10142076,-0.24832866,-0.137681
1827,-0.01663822,0.06405178,0.02966404
1852,-0.31427372,0.3058042,0.112623215
1878,-0.22010642,-0.16562644,-0.32250118
1902,-0.29639065,0.036330238,-0.4201603
1927,0.042318642,-0.02848579,-0.046175957
1952,0.33238882,0.052496508,-0.05188465
1978,0.23993331,-0.103316486,0.042378426
2002,0.32460147,0.26831502,0.10213184
2027,-0.0016508698,-0.06882517,0.42629623
2052,-0.03960842,-0.21655005,-0.53060055
2078,0.23248202,0.3602422,-0.03538227
2102,0.40332258,0.6177424,-0.13494968
2127,0.27979136,-0.48664236,-0.061510086
2153,0.08539802,-0.117372945,-0.19214821
2177,0.067984045,0.42351264,-0.0065317154
2202,-0.32719398,-0.2295408,0.5896578
2227,-0.04470396,0.23388612,0.22817516
2253,-0.1091004,-0.6047389,0.39747715
2277,0.21387464,0.46220207,0.6547613
2302,-0.35027266,0.058580417,0.22319221
2328,0.26471502,0.15133236,-0.10507202
2352,-0.010675967,-0.52068883,-0.37046528
2377,0.12476069,0.2579589,-0.44827843
2402,0.031506777,0.28469676,-0.002483368
2428,-0.011603475,0.20407023,0.047818184
2452,0.2298705,-0.14558148,0.30056858
2477,-0.008049428,-0.021644695,0.7520962
2503,-0.27991068,-0.2515982,0.43249226
2527,-0.25538248,-0.079578,0.8957186
2552,0.18874836,-0.11599839,-0.060336113
2577,0.035572708,0.3779409,0.034490585
2602,-0.17767322,-0.025083132,-0.8318424
2628,-0.048196375,0.14575002,-0.64113426
2652,-0.20900303,0.124312565,0.28614998
2677,0.2120533,-0.11535718,-0.122475624
2702,0.24185157,0.0651401,-0.114310265
