Milliseconds,X,Y,Z
3,13.598633,20.014954,-13.929749
29,10.06012,19.302368,-12.55188
51,12.182617,20.014954,-11.862183
76,12.182617,20.014954,-13.241577
101,12.890625,18.589783,-12.55188
127,13.598633,19.302368,-11.862183
151,12.890625,18.589783,-12.55188
176,12.182617,20.72754,-11.862183
202,12.890625,18.589783,-13.241577
226,12.890625,18.589783,-11.862183
251,12.182617,19.302368,-11.174011
277,11.474609,17.877197,-11.862183
301,13.598633,17.877197,-11.174011
327,11.474609,17.877197,-11.862183
351,12.890625,18.589783,-12.55188
376,12.890625,20.014954,-11.862183
401,10.06012,17.877197,-9.796143
426,11.474609,18.589783,-10.484314
451,12.182617,17.877197,-11.174011
476,10.766602,18.589783,-10.484314
502,11.474609,18.589783,-12.55188
526,11.474609,18.589783,-11.862183
551,12.890625,16.452026,-11.862183
576,12.182617,19.302368,-11.862183
602,11.474609,20.014954,-9.796143
626,13.598633,17.877197,-11.174011
651,11.474609,19.302368,-11.174011
677,11.474609,17.877197,-11.862183
701,12.182617,19.302368,-9.796143
726,12.182617,17.877197,-9.796143
752,12.182617,19.302368,-11.174011
776,12.890625,19.302368,-11.174011
801,9.352112,18.589783,-10.484314
826,10.766602,19.302368,-11.174011
852,12.182617,20.014954,-9.796143
876,11.474609,16.452026,-11.174011
901,12.182617,18.589783,-11.174011
926,10.06012,17.877197,-9.106445
952,11.474609,17.164612,-9.796143
976,10.06012,19.302368,-9.796143
1001,11.474609,18.589783,-9.106445
1026,10.766602,18.589783,-9.106445
1051,10.766602,17.877197,-10.484314
1077,10.766602,17.164612,-10.484314
1101,10.766602,16.452026,-9.796143
1126,10.06012,17.877197,-9.796143
1152,10.766602,17.877197,-9.796143
1176,10.06012,19.302368,-9.796143
1201,11.474609,19.302368,-11.174011
1226,12.182617,17.164612,-9.796143
1252,10.766602,17.164612,-10.484314
1276,10.766602,17.877197,-9.796143
1301,9.352112,17.877197,-10.484314
1326,10.766602,17.164612,-11.174011
1351,10.06012,17.164612,-11.174011
1377,12.182617,16.452026,-10.484314
1401,10.766602,17.877197,-9.106445
1426,12.182617,18.589783,-9.106445
1452,10.766602,17.164612,-10.484314
1476,10.766602,17.164612,-9.796143
1501,10.766602,17.164612,-10.484314
1527,9.352112,16.452026,-9.106445
1551,10.766602,17.164612,-9.106445
1577,10.06012,16.452026,-9.796143
1601,9.352112,18.589783,-10.484314
1626,9.352112,17.877197,-10.484314
1652,9.352112,16.452026,-9.106445
1676,8.644104,15.739441,-8.416748
1701,10.06012,17.164612,-8.416748
1726,10.06012,17.877197,-7.7285767
1752,10.06012,16.452026,-7.0388794
1776,10.766602,17.164612,-7.0388794
1801,10.766602,17.164612,-9.796143
1826,9.352112,17.877197,-7.0388794
1852,10.06012,17.164612,-9.106445
1876,11.474609,17.164612,-8.416748
1901,10.766602,17.164612,-9.796143
1926,9.352112,17.164612,-7.7285767
1951,9.352112,17.164612,-7.0388794
1976,9.352112,17.877197,-8.416748
2001,9.352112,17.877197,-8.416748
2026,10.06012,18.589783,-8.416748
2051,9.352112,18.589783,-9.796143
2077,10.766602,17.877197,-7.7285767
2101,9.352112,19.302368,-9.106445
2126,10.766602,20.72754,-7.0388794
2151,10.06012,17.877197,-6.350708
2177,8.644104,16.452026,-7.0388794
2201,8.644104,18.589783,-7.0388794
2226,9.352112,19.302368,-7.0388794
2251,12.182617,17.877197,-5.6610107
2277,10.766602,20.014954,-9.106445
2301,9.352112,17.877197,-8.416748
2326,10.766602,19.302368,-7.7285767
2351,9.352112,20.014954,-6.350708
2377,10.766602,20.014954,-8.416748
2401,9.352112,18.589783,-8.416748
2426,9.352112,21.440125,-7.7285767
2451,8.644104,20.014954,-7.7285767
2477,11.474609,18.589783,-9.106445
2501,9.352112,20.72754,-8.416748
2526,10.06012,20.72754,-8.416748
2552,10.06012,19.302368,-7.7285767
2576,9.352112,20.014954,-7.7285767
2601,11.474609,21.440125,-9.106445
2626,10.766602,21.440125,-9.106445
2652,9.352112,20.72754,-7.0388794
2676,9.352112,21.440125,-9.796143
2701,12.182617,22.15271,-8.416748
2727,11.474609,20.014954,-7.7285767
2751,11.474609,22.86377,-7.0388794
2776,12.182617,22.86377,-8.416748
2802,9.352112,20.014954,-7.7285767
2826,11.474609,20.72754,-9.106445
2851,10.06012,20.72754,-8.416748
2877,10.766602,19.302368,-7.0388794
2901,12.182617,20.014954,-8.416748
2926,12.182617,22.86377,-8.416748
2951,10.766602,20.72754,-9.106445
2977,11.474609,22.15271,-8.416748
3001,10.06012,22.15271,-7.0388794
3026,11.474609,18.589783,-8.416748
3052,11.474609,22.86377,-8.416748
3076,11.474609,20.72754,-11.174011
3102,12.182617,22.15271,-9.106445
3126,10.766602,22.86377,-8.416748
3151,12.890625,22.15271,-8.416748
3176,12.890625,22.86377,-11.174011
3202,11.474609,22.86377,-8.416748
3226,12.182617,22.15271,-7.7285767
3251,12.182617,20.72754,-9.796143
3277,10.766602,20.014954,-9.106445
3301,12.182617,20.72754,-7.0388794
3326,10.766602,20.72754,-8.416748
3351,11.474609,20.014954,-9.106445
3377,10.06012,21.440125,-7.7285767
3401,10.766602,20.014954,-8.416748
3426,11.474609,21.440125,-9.106445
3451,11.474609,20.014954,-9.796143
3477,12.890625,23.576355,-9.796143
3501,10.766602,20.014954,-9.106445
3527,11.474609,20.014954,-7.7285767
3551,13.598633,19.302368,-9.796143
3576,11.474609,20.72754,-9.796143
3602,11.474609,19.302368,-9.796143
3626,11.474609,20.014954,-9.796143
3651,12.890625,21.440125,-9.106445
3676,10.766602,21.440125,-11.862183
3702,12.182617,21.440125,-8.416748
3726,10.766602,20.014954,-9.106445
3751,12.182617,19.302368,-8.416748
3777,11.474609,19.302368,-9.796143
3801,12.182617,20.014954,-10.484314
3826,12.182617,20.014954,-8.416748
3852,12.890625,21.440125,-9.796143
3876,10.766602,19.302368,-10.484314
3901,10.766602,19.302368,-8.416748
