Milliseconds,X,Y,Z
14,0.387679,0.07853173,9.79867
26,0.4032133,0.08028362,9.798028
52,0.4350411,0.12463856,9.796203
76,0.42970368,0.13346644,9.796323
101,0.4549022,0.15261869,9.794905
127,0.4603565,0.15431188,9.794623
151,0.45238587,0.16104773,9.794887
176,0.44011894,0.12535745,9.795967
201,0.41145316,0.11047048,9.797392
226,0.4491958,0.08435287,9.795994
252,0.45872462,0.085110605,9.795546
276,0.48414832,0.087939315,9.794297
301,0.4938409,0.09612001,9.793736
327,0.52250063,0.124931425,9.791924
351,0.50806236,0.127446,9.792651
376,0.5022463,0.13443948,9.792858
402,0.5004492,0.13613383,9.792926
426,0.49784246,0.14739385,9.792896
451,0.5017556,0.14336158,9.792756
476,0.5151104,0.144947,9.79204
501,0.5102661,0.14396991,9.792308
527,0.51446676,0.14383085,9.79209
551,0.5120517,0.14959754,9.79213
576,0.52987146,0.16267842,9.790974
601,0.51864094,0.18288033,9.791218
627,0.56107587,0.21447136,9.788238
651,0.56238055,0.20289263,9.788409
676,0.5745264,0.19918635,9.78778
701,0.5864379,0.19769496,9.787104
726,0.6019594,0.19755726,9.786163
752,0.62263095,0.20261754,9.784767
776,0.6351641,0.21531445,9.78369
801,0.6427684,0.20922989,9.783326
827,0.6429354,0.20538346,9.783396
851,0.6539965,0.2061153,9.782647
876,0.63247293,0.21735172,9.783819
901,0.61112094,0.19774625,9.785592
926,0.6122771,0.194916,9.785577
952,0.586695,0.18368348,9.787361
976,0.60213125,0.1769442,9.786548
1001,0.60368323,0.18518764,9.7863
1026,0.60597694,0.17573069,9.786332
1052,0.6522362,0.18739031,9.783142
1076,0.668127,0.18954137,9.782027
1101,0.6664456,0.1879986,9.782172
1126,0.6440301,0.17939201,9.783835
1151,0.6338761,0.18057157,9.784476
1177,0.636058,0.17235789,9.784483
1201,0.6507918,0.16411489,9.783656
1226,0.65604067,0.15911213,9.783388
1251,0.6573039,0.16688447,9.783174
1276,0.65893096,0.17672218,9.782891
1302,0.66309196,0.17748988,9.782597
1326,0.66053927,0.19090652,9.7825165
1351,0.65574455,0.1735219,9.783163
1377,0.6860951,0.17639007,9.78103
1401,0.69517404,0.18616797,9.780208
1426,0.72241175,0.1838437,9.778277
1451,0.7367806,0.18119904,9.777254
1476,0.72266,0.19316995,9.778079
1501,0.7354637,0.20483467,9.776887
1527,0.75605017,0.20231311,9.77537
1551,0.7386005,0.1925796,9.776899
1576,0.73865634,0.17913496,9.777151
1601,0.7368019,0.17032836,9.777449
1627,0.7429901,0.17929633,9.77682
1651,0.7095708,0.1712102,9.779447
1676,0.6988803,0.1844678,9.779976
1702,0.6914193,0.16713467,9.780818
1726,0.69530684,0.18055798,9.780303
1751,0.6926557,0.1661712,9.780746
1777,0.67348397,0.1681783,9.782051
1801,0.6816716,0.14997318,9.78178
1826,0.6802893,0.15467848,9.781803
1851,0.65656316,0.17717367,9.783043
1876,0.64302456,0.17802368,9.783926
1901,0.62309015,0.1813208,9.785155
1926,0.61622614,0.16696566,9.785846
1952,0.6411006,0.17090988,9.78418
1976,0.650627,0.14828347,9.783919
2001,0.6741072,0.16807023,9.78201
2026,0.67182714,0.1624362,9.782262
2052,0.6716094,0.14699641,9.782521
2076,0.689489,0.16479781,9.780993
2101,0.72550327,0.1773846,9.778168
2126,0.74663866,0.14115165,9.777167
2152,0.7540791,0.13258521,9.776716
2176,0.7591274,0.16421296,9.775846
2201,0.7068814,0.11760824,9.780434
2227,0.7023649,0.13469747,9.780539
2251,0.6923068,0.08973185,9.781771
2276,0.72631574,0.112131864,9.779074
2301,0.6873768,0.06249901,9.7823305
2326,0.70730674,0.07368184,9.780832
2352,0.70850575,0.03544154,9.780958
2376,0.72008634,0.05466886,9.780025
2401,0.717741,0.040400583,9.780266
2426,0.7166144,0.05560615,9.780274
2451,0.726218,0.02748212,9.779685
2477,0.721508,0.025722148,9.780038
2501,0.6752671,0.001163928,9.783374
2526,0.6752671,0.001163928,9.783374
2552,0.68698823,0.0030938685,9.7825575
2576,0.68939626,0.030720185,9.78234
2601,0.69508696,0.062651575,9.781785
2626,0.69488597,0.073812656,9.781721
2651,0.67791975,0.08290047,9.782839
2677,0.6942508,0.07438727,9.781762
2701,0.73533607,0.10774597,9.778449
2726,0.7607146,0.102176055,9.7765665
2752,0.73762244,0.1178005,9.77816
2776,0.714311,0.124153994,9.779813
2801,0.7131894,0.13251671,9.779784
2827,0.702088,0.11697099,9.780786
2851,0.6777393,0.103300564,9.782658
2876,0.6707265,0.076744035,9.783385
2901,0.64676803,0.03721323,9.785228
2927,0.6445162,0.026742723,9.785411
2951,0.65089107,0.031170566,9.784976
2976,0.652368,0.052673448,9.784785
3002,0.66317797,0.07399541,9.783921
3026,0.64103776,0.09682759,9.785197
