Milliseconds,X,Y,Z
2,0.0,0.0,0.0
25,0.0,0.0,0.0
51,0.0,0.0,0.0
75,0.0,0.0,0.0
100,0.0,0.0,0.0
125,0.0,0.0,0.0
150,0.0,0.0,0.0
175,0.0,0.0,0.0
200,0.0,0.0,0.0
226,0.0,0.0,0.0
250,0.0,0.0,0.0
275,0.0,0.0,0.0
301,0.0,0.0,0.0
325,0.0,0.0,0.0
350,0.0,0.0,0.0
376,0.0,0.0,0.0
400,0.0,0.0,0.0
425,0.0,0.0,0.0
450,0.0,0.0,0.0
475,0.0,0.0,0.0
501,0.0,0.0,0.0
525,0.0,0.0,0.0
550,0.0,0.0,0.0
576,0.0,0.0,0.0
600,0.0,0.0,0.0
625,0.0,0.0,0.0
651,0.0,0.0,0.0
675,0.0,0.0,0.0
701,0.0,0.0,0.0
725,0.0,0.0,0.0
750,0.0,0.0,0.0
775,0.0,0.0,0.0
800,0.0,0.0,0.0
825,0.0,0.0,0.0
851,0.0,0.0,0.0
875,0.0,0.0,0.0
900,0.0,0.0,0.0
925,0.0,0.0,0.0
951,0.0,0.0,0.0
975,0.0,0.0,0.0
1000,0.0,0.0,0.0
1025,0.0,0.0,0.0
1051,0.0,0.0,0.0
1075,0.0,0.0,0.0
1100,0.0,0.0,0.0
1125,0.0,0.0,0.0
1151,0.0,0.0,0.0
1175,0.0,0.0,0.0
1200,0.0,0.0,0.0
1226,0.0,0.0,0.0
1250,0.0,0.0,0.0
1275,0.0,0.0,0.0
1301,0.0,0.0,0.0
1325,0.0,0.0,0.0
1350,0.0,0.0,0.0
1375,0.0,0.0,0.0
1400,0.0,0.0,0.0
1426,0.0,0.0,0.0
1450,0.0,0.0,0.0
1475,0.0,0.0,0.0
1500,0.0,0.0,0.0
1526,0.0,0.0,0.0
1550,0.0,0.0,0.0
1575,0.0,0.0,0.0
1600,0.0,0.0,0.0
1626,0.0,0.0,0.0
1650,0.0,0.0,0.0
1675,0.0,0.0,0.0
1701,0.0,0.0,0.0
1725,0.0,0.0,0.0
1750,0.0,0.0,0.0
1775,0.0,0.0,0.0
1801,0.0,0.0,0.0
1825,0.0,0.0,0.0
1850,0.0,0.0,0.0
1875,0.0,0.0,0.0
1901,0.0,0.0,0.0
1925,0.0,0.0,0.0
1950,0.0,0.0,0.0
1976,0.0,0.0,0.0
2000,0.0,0.0,0.0
2025,0.0,0.0,0.0
2050,0.0,0.0,0.0
2076,0.0,0.0,0.0
2100,0.0,0.0,0.0
2125,0.0,0.0,0.0
2151,0.0,0.0,0.0
2175,0.0,0.0,0.0
2200,0.0,0.0,0.0
2225,0.0,0.0,0.0
2251,0.0,0.0,0.0
2275,0.0,0.0,0.0
2300,0.0,0.0,0.0
2325,0.0,0.0,0.0
2351,0.0,0.0,0.0
2375,0.0,0.0,0.0
2400,0.0,0.0,0.0
2425,0.0,0.0,0.0
2451,0.0,0.0,0.0
2475,0.0,0.0,0.0
2500,0.0,0.0,0.0
2525,0.0,0.0,0.0
2550,0.0,0.0,0.0
2576,0.0,0.0,0.0
2600,0.0,0.0,0.0
2625,0.0,0.0,0.0
2650,0.0,0.0,0.0
2676,0.0,0.0,0.0
2700,0.0,0.0,0.0
2725,0.0,0.0,0.0
2750,0.0,0.0,0.0
2776,0.0,0.0,0.0
2800,0.0,0.0,0.0
2825,0.0,0.0,0.0
2850,0.0,0.0,0.0
2876,0.0,0.0,0.0
2900,0.0,0.0,0.0
2925,0.0,0.0,0.0
2950,0.0,0.0,0.0
2976,0.0,0.0,0.0
3000,0.0,0.0,0.0
3025,0.0,0.0,0.0
3050,0.0,0.0,0.0
3076,0.0,0.0,0.0
3100,0.0,0.0,0.0
3126,0.0,0.0,0.0
3150,0.0,0.0,0.0
3175,0.0,0.0,0.0
3200,0.0,0.0,0.0
3226,0.0,0.0,0.0
3250,0.0,0.0,0.0
3275,0.0,0.0,0.0
3301,0.0,0.0,0.0
3325,0.0,0.0,0.0
3350,0.0,0.0,0.0
3375,0.0,0.0,0.0
3401,0.0,0.0,0.0
3425,0.0,0.0,0.0
3450,0.0,0.0,0.0
