Milliseconds,X,Y,Z,cos,headingAccuracy
7,0.009418341,-0.017837945,0.28198984,0.9592053,0.17453292
27,0.011037826,-0.019879965,0.27983117,0.9597799,0.17453292
53,0.0123029165,-0.019526873,0.27935374,0.95991087,0.17453292
77,0.012653129,-0.019143596,0.27905524,0.9600008,0.17453292
102,0.014002666,-0.020120353,0.28258952,0.95892763,0.17453292
127,0.014222885,-0.020270789,0.2843299,0.9584066,0.17453292
153,0.014459462,-0.01976646,0.28544357,0.95808256,0.17453292
177,0.01251929,-0.019696707,0.28463763,0.9583511,0.17453292
203,0.010740316,-0.020105032,0.28897896,0.95706403,0.17453292
227,0.010769057,-0.020672424,0.29030973,0.9566488,0.17453292
253,0.010944078,-0.02112813,0.2901614,0.95668185,0.17453292
277,0.0114693595,-0.02232236,0.29060328,0.9565145,0.17453292
302,0.012069181,-0.022644242,0.2929931,0.9557702,0.17453292
328,0.013881323,-0.02362503,0.29209557,0.9559965,0.17453292
352,0.013805227,-0.022872778,0.29279834,0.9558009,0.17453292
377,0.014050432,-0.022490105,0.29242218,0.9559216,0.17453292
403,0.014062399,-0.02240471,0.2905507,0.9564939,0.17453292
427,0.01458466,-0.022103084,0.291043,0.9563434,0.17453292
452,0.014465714,-0.02234127,0.2918826,0.9560838,0.17453292
477,0.014711267,-0.02298937,0.29058972,0.9564584,0.17453292
503,0.014577446,-0.022776397,0.2899947,0.95664614,0.17453292
527,0.014641705,-0.022978004,0.2903599,0.95652956,0.17453292
552,0.014949617,-0.02273386,0.29297632,0.95573246,0.17453292
577,0.01584693,-0.023413012,0.29266456,0.95579714,0.17453292
603,0.016608126,-0.022604898,0.2902847,0.95652914,0.17453292
627,0.018927,-0.024095211,0.29607877,0.954672,0.17453292
652,0.018348804,-0.024359053,0.29475802,0.95508516,0.17453292
677,0.01835151,-0.02500695,0.2947668,0.95506567,0.17453292
703,0.01844719,-0.025618432,0.29434657,0.9551772,0.17453292
727,0.018641103,-0.026401121,0.29314506,0.9555216,0.17453292
752,0.019194005,-0.02733722,0.293,0.9555288,0.17453292
778,0.0200144,-0.027749896,0.2934443,0.9553637,0.17453292
802,0.019744653,-0.02827317,0.2904936,0.9562553,0.17453292
827,0.020098833,-0.028469272,0.28747365,0.95715433,0.17453292
852,0.019656379,-0.02893823,0.28707632,0.9572687,0.17453292
878,0.0199141,-0.02770324,0.2879363,0.9570416,0.17453292
902,0.018651478,-0.02694028,0.2882983,0.9569799,0.17453292
927,0.017577525,-0.026200796,0.284751,0.95808214,0.17453292
952,0.017529666,-0.026003474,0.28555828,0.95784813,0.17453292
978,0.017364506,-0.026896352,0.2833763,0.9584743,0.17453292
1002,0.0177833,-0.02685787,0.28312382,0.9585423,0.17453292
1027,0.01805219,-0.0275621,0.2816911,0.9589393,0.17453292
1052,0.018560912,-0.029224887,0.2820099,0.95878667,0.17453292
1077,0.018912997,-0.029961474,0.282562,0.95859444,0.17453292
1103,0.018837903,-0.029885765,0.28335586,0.95836395,0.17453292
1127,0.018046033,-0.028940981,0.2818504,0.958852,0.17453292
1152,0.017944599,-0.02843463,0.28142375,0.9589943,0.17453292
1177,0.017510578,-0.028698135,0.27930653,0.95961326,0.17453292
1203,0.017319845,-0.029536445,0.27938518,0.95956844,0.17453292
1227,0.01722244,-0.029823247,0.28171882,0.95887876,0.17453292
1252,0.017656378,-0.029752586,0.28285247,0.95853925,0.17453292
1277,0.01814804,-0.029698517,0.28242022,0.9586592,0.17453292
1302,0.018184986,-0.029928297,0.28047046,0.9592236,0.17453292
1328,0.018813577,-0.0296061,0.28073326,0.9591446,0.17453292
1352,0.017870476,-0.029633805,0.27999678,0.95937705,0.17453292
1378,0.01855352,-0.031016652,0.28330985,0.95834714,0.17453292
1402,0.019151911,-0.031327248,0.2829453,0.958433,0.17453292
1427,0.019477999,-0.03266822,0.28426233,0.95799184,0.17453292
1452,0.020389093,-0.032759637,0.28461108,0.9578662,0.17453292
1478,0.01995507,-0.032534637,0.2847665,0.9578368,0.17453292
1502,0.020722454,-0.032985885,0.28505096,0.95772046,0.17453292
1527,0.02087501,-0.034045763,0.284348,0.957889,0.17453292
1553,0.019893372,-0.033666003,0.2849672,0.9577393,0.17453292
1577,0.019504797,-0.033520043,0.284848,0.9577879,0.17453292
1602,0.01895404,-0.033609767,0.28219858,0.9585797,0.17453292
1627,0.01941299,-0.03382395,0.28022316,0.9591423,0.17453292
1653,0.018182324,-0.030702295,0.27782956,0.95996743,0.17453292
1677,0.018926242,-0.03165146,0.2769882,0.9601654,0.17453292
1702,0.017961696,-0.03153525,0.27672157,0.96026456,0.17453292
1727,0.01863958,-0.03155752,0.27564165,0.9605615,0.17453292
1752,0.017672995,-0.031179,0.27638987,0.9603771,0.17453292
1778,0.017731136,-0.03065636,0.2758596,0.9605453,0.17453292
1802,0.01698958,-0.03129507,0.27695367,0.9602232,0.17453292
1827,0.017133784,-0.031197598,0.27489305,0.9608158,0.17453292
1852,0.017878069,-0.029732598,0.27407476,0.9610824,0.17453292
1878,0.017777001,-0.029027078,0.2756375,0.96065885,0.17453292
1902,0.017667348,-0.027996175,0.2759788,0.96059346,0.17453292
1927,0.016828991,-0.02788404,0.27468988,0.96098113,0.17453292
1952,0.017343324,-0.029067118,0.273732,0.96121025,0.17453292
1978,0.016290464,-0.02989237,0.27128616,0.9618965,0.17453292
2002,0.017544322,-0.030797666,0.26990804,0.96223354,0.17453292
2027,0.017203031,-0.030781569,0.26887745,0.9625287,0.17453292
2052,0.01638839,-0.0310106,0.2672365,0.9629924,0.17453292
2078,0.01750765,-0.03164818,0.26721257,0.96295863,0.17453292
2102,0.018554987,-0.0332852,0.2653377,0.96340215,0.17453292
2127,0.017029766,-0.034831174,0.26451033,0.96360314,0.17453292
2153,0.016708877,-0.035313416,0.2645053,0.9635926,0.17453292
2177,0.016426379,-0.034367945,0.26054633,0.9647096,0.17453292
2202,0.015108061,-0.033293203,0.25800332,0.965452,0.17453292
2227,0.015822358,-0.032878447,0.25599092,0.9659903,0.17453292
2253,0.013588595,-0.032921523,0.25939006,0.9651157,0.17453292
2277,0.0123005835,-0.034428786,0.25857833,0.9652982,0.17453292
2302,0.012120085,-0.033061303,0.25760326,0.96560895,0.17453292
2328,0.0129478555,-0.03389263,0.25799072,0.9654659,0.17453292
2352,0.01101024,-0.034477245,0.25607195,0.96597993,0.17453292
2377,0.013104281,-0.034666017,0.25393185,0.96651185,0.17453292
2402,0.011281196,-0.034899175,0.25344867,0.9666533,0.17453292
2428,0.011907689,-0.034684546,0.25039816,0.9674482,0.17453292
2452,0.010562943,-0.035542406,0.24825475,0.9679849,0.17453292
2477,0.009210339,-0.034432206,0.24848492,0.9679798,0.17453292
2503,0.008515214,-0.03338056,0.24536306,0.96881896,0.17453292
2527,0.008969266,-0.033144064,0.2444401,0.96905625,0.17453292
2552,0.008742879,-0.03394057,0.24493638,0.96890545,0.17453292
2577,0.0100887725,-0.033729635,0.24347797,0.96926725,0.17453292
2603,0.011762085,-0.033606958,0.24412166,0.96909076,0.17453292
2627,0.012299975,-0.033462312,0.24377969,0.96917516,0.17453292
2652,0.012470174,-0.032534964,0.24176155,0.96970993,0.17453292
2677,0.012198605,-0.033468377,0.24024649,0.9700581,0.17453292
2702,0.014372074,-0.035090137,0.24067847,0.9698639,0.17453292
2728,0.014489016,-0.036385257,0.24280308,0.9692847,0.17453292
2752,0.014946417,-0.035059534,0.24201031,0.96952486,0.17453292
2777,0.014982642,-0.033820987,0.24231844,0.9694913,0.17453292
2803,0.015306245,-0.033696875,0.24011639,0.97003835,0.17453292
2827,0.014445677,-0.033316966,0.24145585,0.9697321,0.17453292
2852,0.013443699,-0.032288656,0.24073456,0.96996063,0.17453292
2878,0.012086621,-0.032250617,0.24206986,0.96964735,0.17453292
2902,0.009916803,-0.03152564,0.24464308,0.9690498,0.17453292
2927,0.009386981,-0.031540032,0.24514282,0.96892834,0.17453292
2953,0.009692199,-0.03179831,0.24533406,0.9688685,0.17453292
2977,0.01076867,-0.0316041,0.2451654,0.96890616,0.17453292
3002,0.0118328035,-0.031919546,0.24133386,0.9698449,0.17453292
3028,0.012754648,-0.030514266,0.243396,0.969363,0.17453292
3052,0.013502109,-0.029296784,0.2425972,0.9695906,0.17453292
3077,0.012972187,-0.0282777,0.24357231,0.96938366,0.17453292
3102,0.014211757,-0.029198306,0.2433163,0.96940327,0.17453292
3128,0.014387393,-0.030707562,0.24476792,0.9689885,0.17453292
3152,0.014608002,-0.031095054,0.24651913,0.9685288,0.17453292
3177,0.015441489,-0.03170407,0.24788183,0.96814823,0.17453292
3202,0.014985153,-0.032681588,0.24755487,0.9682066,0.17453292
3227,0.0137218945,-0.032687426,0.24787478,0.9681432,0.17453292
3253,0.014397868,-0.03366565,0.24974588,0.9676189,0.17453292
3277,0.014917542,-0.034749404,0.2503262,0.9674227,0.17453292
3302,0.01422827,-0.035369497,0.25190055,0.9670019,0.17453292
3328,0.014213703,-0.032691948,0.25086954,0.9673643,0.17453292
3352,0.014000468,-0.031434704,0.25156066,0.9672296,0.17453292
3377,0.013573711,-0.029740356,0.2493991,0.96784884,0.17453292
3402,0.013371215,-0.02858908,0.24928285,0.9679163,0.17453292
3428,0.014765733,-0.027959386,0.25112602,0.96743786,0.17453292
3452,0.015114154,-0.027914712,0.2520523,0.9671928,0.17453292
3477,0.01647468,-0.02893646,0.25244907,0.9670371,0.17453292
3502,0.016514631,-0.029285798,0.25257814,0.9669922,0.17453292
3528,0.01556467,-0.029322615,0.25643775,0.9659905,0.17453292
3552,0.015346751,-0.028586164,0.2598428,0.9651057,0.17453292
3577,0.015642537,-0.028627407,0.25976086,0.9651218,0.17453292
3602,0.01721182,-0.028690012,0.26050854,0.9648917,0.17453292
3627,0.022453755,-0.03049065,0.25972718,0.96493936,0.17453292
3653,0.023935659,-0.030590689,0.26063228,0.9646565,0.17453292
3677,0.025049407,-0.029015865,0.25869462,0.9651983,0.17453292
3702,0.024294417,-0.027783222,0.25859874,0.9652795,0.17453292
3728,0.025745338,-0.027541248,0.25957176,0.96498764,0.17453292
3752,0.024411544,-0.02644584,0.25915247,0.9651656,0.17453292
3777,0.024779797,-0.026205704,0.25985962,0.9649726,0.17453292
3803,0.024156902,-0.024789482,0.2606217,0.9648203,0.17453292
3827,0.02337447,-0.023636743,0.2613089,0.96468264,0.17453292
3852,0.023182757,-0.01985572,0.26227355,0.9645107,0.17453292
3878,0.022770245,-0.018792221,0.2616503,0.96471107,0.17453292
3902,0.021643374,-0.019702759,0.26170945,0.96470284,0.17453292
3927,0.024651105,-0.02062147,0.2600383,0.9650633,0.17453292
3952,0.025758842,-0.01818027,0.26047036,0.9649669,0.17453292
3978,0.028563494,-0.019186135,0.25986698,0.9650312,0.17453292
4002,0.030896507,-0.020662077,0.25889942,0.96518886,0.17453292
4027,0.031726334,-0.022159006,0.25827792,0.96529526,0.17453292
4052,0.031448368,-0.02606986,0.26011372,0.9647135,0.17453292
4077,0.03037975,-0.027617525,0.2587873,0.96506137,0.17453292
4102,0.030124292,-0.030555429,0.25986254,0.9646918,0.17453292
4127,0.031016702,-0.034005385,0.262576,0.96381295,0.17453292
4152,0.031413313,-0.04138629,0.26550582,0.9627082,0.17453292
4178,0.03183714,-0.0424892,0.2678657,0.9619922,0.17453292
4202,0.03055424,-0.042816333,0.26930243,0.9616181,0.17453292
4227,0.030287212,-0.042778134,0.26964682,0.96153176,0.17453292
4252,0.030185692,-0.038589906,0.27079934,0.96138823,0.17453292
4277,0.030014647,-0.038140472,0.27199712,0.96107334,0.17453292
4303,0.03035109,-0.03716337,0.27468035,0.96033764,0.17453292
4327,0.030898089,-0.036466226,0.2731801,0.9607748,0.17453292
4352,0.027458863,-0.031189544,0.27181494,0.96145195,0.17453292
4377,0.028444715,-0.0316665,0.27106437,0.9616196,0.17453292
4403,0.03110862,-0.032073516,0.27026522,0.96174854,0.17453292
4427,0.029668404,-0.030695803,0.26823634,0.96240675,0.17453292
4452,0.030217877,-0.03021043,0.26834115,0.9623758,0.17453292
4478,0.031264983,-0.026475247,0.26595718,0.9631139,0.17453292
4502,0.031496692,-0.023934538,0.2619386,0.96427345,0.17453292
4528,0.03279369,-0.022110289,0.26402926,0.9637034,0.17453292
4552,0.03398641,-0.021780318,0.26508483,0.96337974,0.17453292
4577,0.035905126,-0.020665701,0.26310715,0.9638767,0.17453292
4602,0.035466902,-0.019737037,0.26020974,0.9646986,0.17453292
4628,0.037455127,-0.020253878,0.2595916,0.9647793,0.17453292
4652,0.04073518,-0.022641534,0.26257178,0.9637863,0.17453292
4677,0.041473385,-0.028089369,0.26460204,0.9630559,0.17453292
4703,0.04399404,-0.030945916,0.2656182,0.9625767,0.17453292
4727,0.04642288,-0.032892287,0.26867923,0.961548,0.17453292
4752,0.046637207,-0.03581031,0.26756385,0.96174437,0.17453292
4778,0.051501665,-0.037780765,0.26841256,0.9611841,0.17453292
4802,0.054208856,-0.043798573,0.27063665,0.96015567,0.17453292
4827,0.05419523,-0.04337666,0.27162004,0.9598979,0.17453292
4852,0.05569512,-0.042909004,0.2725193,0.9595781,0.17453292
4877,0.057281986,-0.041327734,0.27474138,0.95892024,0.17453292
4903,0.05875244,-0.038981054,0.27432007,0.9590501,0.17453292
4927,0.05833581,-0.036424767,0.2746624,0.9590781,0.17453292
4952,0.05849267,-0.034780957,0.27426845,0.9592423,0.17453292
4977,0.056944877,-0.02494231,0.26676786,0.96175367,0.17453292
5002,0.055185445,-0.023598785,0.266528,0.9619566,0.17453292
5027,0.05455488,-0.023151893,0.26494074,0.96244174,0.17453292
5052,0.05239302,-0.021024788,0.26458827,0.96270764,0.17453292
5077,0.053960595,-0.01774888,0.26055866,0.96378547,0.17453292
5102,0.052649867,-0.017742116,0.25944233,0.96415913,0.17453292
5128,0.054063514,-0.015758974,0.25933304,0.96414477,0.17453292
5152,0.051268235,-0.014671943,0.2564314,0.9650903,0.17453292
5177,0.054006167,-0.020504827,0.24959426,0.96662587,0.17453292
5202,0.056430407,-0.020506069,0.24824181,0.9668356,0.17453292
5228,0.057485245,-0.022859888,0.24855918,0.9666391,0.17453292
5252,0.05931434,-0.023819027,0.24972562,0.9662047,0.17453292
5278,0.058455016,-0.023064343,0.24768351,0.96680087,0.17453292
5302,0.057629395,-0.02301797,0.24885242,0.96655136,0.17453292
5327,0.057391442,-0.022365395,0.24812625,0.9667675,0.17453292
5353,0.057422474,-0.020193527,0.24787511,0.9668779,0.17453292
5377,0.059442844,-0.019846786,0.24610054,0.9672162,0.17453292
5402,0.06052044,-0.020124799,0.24385564,0.9677121,0.17453292
5427,0.059509687,-0.01917591,0.24392645,0.9677762,0.17453292
5453,0.060362365,-0.017509589,0.24347408,0.96786886,0.17453292
5477,0.058717057,-0.015971951,0.24481253,0.96765906,0.17453292
5502,0.05636792,-0.013838288,0.24108167,0.96876764,0.17453292
5527,0.057018388,-0.012678597,0.23937486,0.9691686,0.17453292
5553,0.055970315,-0.014279973,0.23841396,0.9694443,0.17453292
5577,0.057179265,-0.014966627,0.23854007,0.96933234,0.17453292
5602,0.05732025,-0.015484017,0.2406674,0.9687899,0.17453292
5627,0.05704245,-0.015670868,0.24003878,0.9689592,0.17453292
5653,0.056825332,-0.015843358,0.2420276,0.9684743,0.17453292
5677,0.056583263,-0.014705988,0.23991515,0.9690319,0.17453292
5702,0.056783907,-0.015687272,0.23772137,0.9695453,0.17453292
5727,0.057633653,-0.016677933,0.23847042,0.9692946,0.17453292
5753,0.0569298,-0.01615573,0.23982571,0.96901065,0.17453292
5777,0.057374038,-0.015585092,0.23952435,0.96906835,0.17453292
5802,0.05684341,-0.015296982,0.24464917,0.96782315,0.17453292
5827,0.056647867,-0.013709898,0.24372458,0.9680916,0.17453292
5853,0.05595765,-0.012007603,0.24179912,0.96863705,0.17453292
5877,0.055709347,-0.012456438,0.24164051,0.96868527,0.17453292
