Milliseconds,X,Y,Z
7,-0.42784852,-0.02790302,0.5018568
27,-0.5207216,0.014351547,-0.78652954
53,-0.28975844,0.051476657,-0.41777515
77,-0.103501916,0.04511112,0.15485764
103,0.021627784,0.008683026,-0.3326187
127,-0.28441203,0.06669384,-0.7907829
153,-0.4411918,0.09152818,-0.6736355
177,-0.10131353,-0.0024297535,-0.06345177
203,0.47604936,-0.02320543,0.16010666
227,0.3652295,0.33566174,-0.2196083
252,0.59277093,0.45973,-0.41585636
278,0.62357104,-0.15289325,-0.50284576
302,-0.12518132,0.1673151,-0.08870602
328,-0.27206862,0.44319892,0.0753603
352,0.6071695,0.49566934,-0.18447304
377,0.716071,0.81994486,0.30231
402,-1.3626264,-1.4523579,-1.133359
428,-1.3652717,-1.5853918,-2.2623444
452,-1.7838869,-3.278049,-3.5232563
477,0.5317389,-2.5733204,-0.17199707
503,5.8272223,-2.692313,4.6719456
527,3.0692482,-3.22748,0.99808407
552,1.2068598,-3.305206,-1.9270868
578,4.6850348,-3.8610227,-2.6216326
602,7.4865656,-2.3899312,-7.257164
627,4.2167134,-1.5452428,-6.878783
653,2.4711418,-0.97944784,-6.99134
677,2.3005314,-1.71961,-6.7537136
702,4.4237022,-1.1060832,-4.2719355
727,4.603274,-0.9561949,-4.2888184
752,7.0101533,-1.375772,-2.7089624
778,7.9779863,-1.6150272,-6.6229916
802,7.935246,-1.7416747,-6.2576227
828,6.0851564,-2.9199522,-2.701602
852,3.5179272,-2.6022704,-2.003075
877,1.0925808,-2.2413385,-0.31428957
903,0.11469269,-2.0772614,1.4962404
927,-0.53325176,-0.27683735,1.0508826
952,-1.8186331,0.4328599,-0.6769481
978,-0.46724987,0.011519909,4.019311
1002,-2.799739,0.79570246,-1.9424663
1028,-3.57648,1.8397238,-1.6952248
1052,-4.7175684,2.323352,0.075547695
1078,-4.0984516,2.4701405,-0.190166
1103,-1.9272718,2.3827627,-0.43960023
1127,-0.34504747,0.7871244,-1.3444002
1153,0.71186256,-0.24653554,-0.83301044
1177,1.1740384,-1.2874484,0.5229609
1203,2.4635835,-2.0597851,1.2144723
1228,3.016933,-2.0747793,1.2389376
1252,2.2619662,-1.7940798,-0.19931674
1278,-0.5900378,-2.1359382,0.43500137
1302,1.6254902,-3.5487895,-1.4597113
1327,-0.50852823,-3.5483108,-1.8895812
1352,-5.740819,-3.4494152,-0.6330447
1378,-9.174473,-4.227,0.26440525
1402,-1.2551961,-3.9012651,-0.01683259
1428,10.769303,2.5816464,-2.1726775
1452,-2.0817513,0.07738829,2.143383E-4
1478,-2.156776,0.49107265,-0.1520989
1503,-0.015472889,0.5637646,-1.4599705
1528,0.7822304,-0.3114786,-0.9262357
1552,-1.8907714,-4.6229253,1.8744693
1578,-4.1166525,-5.9666486,1.9076712
1603,-4.478987,-2.8370976,-2.5125043
1628,-3.8406277,-2.1471114,-0.13953114
1652,-1.4416246,-2.5299659,1.3860724
1678,-0.22373915,-2.2500038,0.11916804
1704,-0.22054386,-0.26942492,-0.14945364
1729,0.280365,1.6230364,-1.3198428
1753,2.429398,5.426473,-0.49149728
1777,-0.40373278,3.4069366,1.1316643
