Milliseconds,X,Y,Z
5,22.225952,10.8810425,-35.43701
26,19.395447,10.8810425,-36.125183
52,21.517944,8.743286,-37.504578
76,22.93396,9.455872,-36.81488
101,22.225952,11.592102,-36.81488
127,20.103455,8.030701,-36.81488
151,22.225952,8.743286,-36.125183
177,20.809937,10.168457,-36.125183
201,19.395447,7.318115,-37.504578
226,19.395447,6.60553,-37.504578
252,18.687439,8.030701,-38.19275
276,18.687439,7.318115,-38.882446
301,17.979431,10.168457,-37.504578
326,17.979431,8.030701,-36.81488
352,16.563416,9.455872,-36.81488
376,16.563416,9.455872,-40.260315
409,8.778381,8.030701,-43.016052
426,8.778381,6.60553,-41.638184
451,4.5303345,4.4677734,-42.32788
476,3.8223267,7.318115,-45.773315
502,-1.1322021,5.8929443,-45.773315
526,-7.5012207,2.330017,-43.70575
551,-11.04126,-0.5203247,-43.70575
576,-13.871765,-1.9439697,-44.39392
602,-19.534302,-4.7943115,-40.260315
626,-25.196838,-5.506897,-37.504578
651,-30.151367,-6.932068,-36.125183
677,-32.9834,-4.7943115,-34.747314
701,-32.27539,-0.5203247,-30.613708
726,-34.399414,0.19226074,-29.924011
751,-36.52191,0.9048462,-29.924011
777,-37.937927,-1.2329102,-28.546143
801,-33.691406,0.19226074,-28.546143
826,-35.10742,2.330017,-28.546143
852,-35.10742,0.19226074,-29.23584
876,-35.10742,-1.2329102,-29.23584
901,-35.813904,-0.5203247,-29.23584
927,-35.10742,-2.6565552,-28.546143
951,-34.399414,-3.3691406,-28.546143
976,-33.691406,-4.081726,-30.613708
1001,-34.399414,-5.506897,-27.856445
1027,-34.399414,-4.081726,-29.23584
1051,-35.10742,-3.3691406,-30.613708
1077,-33.691406,-4.081726,-29.924011
1101,-33.691406,-5.506897,-27.856445
1126,-37.22992,-4.7943115,-29.924011
1152,-35.813904,-2.6565552,-27.168274
1176,-37.22992,-0.5203247,-27.856445
1202,-35.10742,-0.5203247,-27.856445
1226,-35.10742,-1.9439697,-28.546143
1251,-37.22992,-1.9439697,-25.790405
1277,-40.768433,-1.9439697,-23.72284
1301,-37.22992,-2.6565552,-23.72284
1327,-37.937927,-1.2329102,-25.100708
1351,-42.18445,0.19226074,-26.478577
1376,-40.768433,2.330017,-24.41101
1402,-38.645935,7.318115,-22.34497
1426,-39.353943,8.030701,-23.033142
1451,-37.22992,10.8810425,-24.41101
1477,-36.52191,12.3046875,-23.72284
1501,-36.52191,11.592102,-23.033142
1526,-35.813904,10.8810425,-23.72284
1552,-36.52191,12.3046875,-24.41101
1576,-38.645935,13.017273,-22.34497
1602,-38.645935,12.3046875,-20.967102
1626,-37.937927,14.442444,-23.72284
1651,-35.813904,13.729858,-22.34497
1677,-35.10742,14.442444,-23.033142
1702,-35.813904,13.017273,-24.41101
1727,-35.10742,13.017273,-23.72284
1751,-35.10742,11.592102,-24.41101
1777,-35.813904,13.017273,-24.41101
1803,-36.52191,13.729858,-23.033142
1827,-35.813904,13.017273,-23.72284
1851,-37.22992,12.3046875,-20.967102
1877,-37.937927,9.455872,-17.521667
1901,-38.645935,10.168457,-20.277405
1927,-38.645935,10.8810425,-18.899536
1952,-39.353943,13.017273,-18.899536
1976,-40.06195,15.155029,-19.587708
2001,-36.52191,15.155029,-20.967102
2027,-35.813904,15.867615,-21.655273
2051,-37.22992,16.5802,-17.521667
2077,-35.813904,15.867615,-19.587708
2102,-35.813904,16.5802,-20.967102
2127,-37.937927,13.729858,-18.209839
2152,-36.52191,18.005371,-18.899536
2176,-37.22992,15.867615,-19.587708
2201,-37.22992,16.5802,-20.277405
2227,-37.22992,17.292786,-17.521667
2252,-38.645935,18.005371,-19.587708
2277,-37.22992,17.292786,-21.655273
2301,-35.813904,18.005371,-20.967102
2328,-37.22992,18.005371,-19.587708
2353,-35.10742,17.292786,-20.277405
2376,-32.9834,24.417114,-18.209839
2402,-30.859375,27.980042,-18.899536
2427,-29.444885,30.830383,-19.587708
2451,-25.904846,32.255554,-18.899536
2477,-25.904846,36.531067,-18.899536
2501,-26.612854,37.954712,-17.521667
2527,-24.48883,37.242126,-16.83197
2551,-20.950317,41.51764,-16.83197
2576,-13.871765,42.94281,-17.521667
2602,-9.625244,44.36798,-18.899536
2626,-11.04126,45.080566,-15.454102
2652,-13.871765,43.655396,-15.454102
2676,-13.163757,44.36798,-13.386536
2701,-13.163757,45.080566,-14.076233
2727,-14.579773,45.080566,-11.31897
2751,-13.871765,45.79315,-10.630798
2776,-15.287781,45.79315,-7.873535
2801,-18.119812,45.080566,-4.4296265
2827,-18.119812,44.36798,-3.050232
2852,-20.950317,44.36798,-0.29449463
2877,-22.366333,45.080566,1.7730713
2902,-22.366333,44.36798,5.218506
2926,-23.07434,45.79315,2.4612427
2952,-23.07434,43.655396,5.9066772
2976,-24.48883,42.230225,5.9066772
3002,-23.07434,42.230225,3.8391113
3026,-24.48883,42.94281,3.8391113
3052,-25.196838,40.805054,3.8391113
3077,-24.48883,41.51764,4.5288086
3101,-25.904846,42.230225,4.5288086
3126,-23.07434,40.805054,5.9066772
3152,-24.48883,40.805054,5.9066772
3176,-23.782349,41.51764,4.5288086
3202,-25.196838,41.51764,5.9066772
3226,-23.07434,40.09247,5.9066772
3251,-25.904846,40.805054,5.9066772
3277,-25.196838,40.09247,4.5288086
3301,-24.48883,42.94281,2.4612427
3326,-24.48883,42.230225,3.15094
3352,-24.48883,42.94281,2.4612427
3376,-25.196838,42.94281,1.083374
3401,-22.366333,42.230225,-3.7399292
3427,-22.366333,42.230225,-5.807495
3451,-21.658325,43.655396,-7.873535
3476,-20.950317,42.230225,-7.873535
3501,-21.658325,42.94281,-9.941101
3527,-20.950317,43.655396,-10.630798
3551,-20.950317,42.230225,-12.698364
3576,-20.950317,41.51764,-14.764404
3602,-17.411804,42.94281,-14.076233
3626,-19.534302,40.805054,-16.83197
3651,-17.411804,39.379883,-16.142273
3676,-16.703796,40.805054,-18.899536
3702,-15.995789,40.805054,-21.655273
3726,-15.287781,38.667297,-20.277405
3751,-15.287781,39.379883,-20.967102
3777,-13.871765,38.667297,-21.655273
3802,-13.871765,37.242126,-21.655273
3827,-13.163757,37.242126,-23.72284
3851,-9.625244,39.379883,-24.41101
3876,-12.457275,38.667297,-23.72284
3902,-11.749268,38.667297,-25.100708
3926,-10.333252,40.09247,-24.41101
3952,-9.625244,41.51764,-23.72284
3976,-12.457275,41.51764,-23.033142
4002,-12.457275,42.230225,-21.655273
4026,-13.163757,42.94281,-19.587708
4052,-15.287781,44.36798,-14.076233
4076,-17.411804,42.94281,-14.076233
4103,-18.826294,42.94281,-13.386536
