Milliseconds,Latitude,Longitude,Altitude
4,35.702168,51.3528294,1197.0
25,35.702168,51.3528294,1197.0
50,35.702168,51.3528294,1197.0
75,35.702168,51.3528294,1197.0
101,35.702168,51.3528294,1197.0
125,35.702168,51.3528294,1197.0
150,35.702168,51.3528294,1197.0
176,35.702168,51.3528294,1197.0
200,35.702168,51.3528294,1197.0
225,35.702168,51.3528294,1197.0
251,35.702168,51.3528294,1197.0
275,35.702168,51.3528294,1197.0
300,35.702168,51.3528294,1197.0
325,35.702168,51.3528294,1197.0
351,35.702168,51.3528294,1197.0
375,35.702168,51.3528294,1197.0
403,35.702168,51.3528294,1197.0
425,35.702168,51.3528294,1197.0
450,35.702168,51.3528294,1197.0
476,35.702168,51.3528294,1197.0
500,35.702168,51.3528294,1197.0
525,35.702168,51.3528294,1197.0
550,35.702168,51.3528294,1197.0
576,35.702168,51.3528294,1197.0
600,35.702168,51.3528294,1197.0
625,35.702168,51.3528294,1197.0
651,35.702168,51.3528294,1197.0
675,35.702168,51.3528294,1197.0
700,35.702168,51.3528294,1197.0
725,35.702168,51.3528294,1197.0
750,35.702168,51.3528294,1197.0
776,35.702168,51.3528294,1197.0
800,35.702168,51.3528294,1197.0
825,35.702168,51.3528294,1197.0
850,35.702168,51.3528294,1197.0
876,35.702168,51.3528294,1197.0
900,35.702168,51.3528294,1197.0
925,35.702168,51.3528294,1197.0
951,35.702168,51.3528294,1197.0
975,35.702168,51.3528294,1197.0
1000,35.702168,51.3528294,1197.0
1025,35.702168,51.3528294,1197.0
1051,35.702168,51.3528294,1197.0
1075,35.702168,51.3528294,1197.0
1101,35.702168,51.3528294,1197.0
1125,35.702168,51.3528294,1197.0
1150,35.702168,51.3528294,1197.0
1175,35.702168,51.3528294,1197.0
1201,35.702168,51.3528294,1197.0
1225,35.702168,51.3528294,1197.0
1250,35.702168,51.3528294,1197.0
1276,35.702168,51.3528294,1197.0
1300,35.702168,51.3528294,1197.0
1325,35.702168,51.3528294,1197.0
1350,35.7021707,51.3528208,1197.0
1375,35.7021707,51.3528208,1197.0
1400,35.7021707,51.3528208,1197.0
1426,35.7021707,51.3528208,1197.0
1450,35.7021707,51.3528208,1197.0
1475,35.7021707,51.3528208,1197.0
1501,35.7021707,51.3528208,1197.0
1525,35.7021707,51.3528208,1197.0
1550,35.7021707,51.3528208,1197.0
1575,35.7021707,51.3528208,1197.0
1601,35.7021707,51.3528208,1197.0
1625,35.7021707,51.3528208,1197.0
1650,35.7021707,51.3528208,1197.0
1676,35.7021707,51.3528208,1197.0
1701,35.7021707,51.3528208,1197.0
1726,35.7021707,51.3528208,1197.0
1750,35.7021707,51.3528208,1197.0
1776,35.7021707,51.3528208,1197.0
1802,35.7021707,51.3528208,1197.0
1826,35.7021707,51.3528208,1197.0
1850,35.7021707,51.3528208,1197.0
1876,35.7021707,51.3528208,1197.0
1900,35.7021707,51.3528208,1197.0
1926,35.7021707,51.3528208,1197.0
1950,35.7021707,51.3528208,1197.0
1975,35.7021707,51.3528208,1197.0
2001,35.7021707,51.3528208,1197.0
2026,35.7021707,51.3528208,1197.0
2050,35.7021707,51.3528208,1197.0
2075,35.7021707,51.3528208,1197.0
2101,35.7021707,51.3528208,1197.0
2126,35.7021707,51.3528208,1197.0
2150,35.7021707,51.3528208,1197.0
2175,35.7021707,51.3528208,1197.0
2200,35.7021707,51.3528208,1197.0
2226,35.7021707,51.3528208,1197.0
2251,35.7021707,51.3528208,1197.0
2275,35.7021707,51.3528208,1197.0
2301,35.7021707,51.3528208,1197.0
2327,35.7021707,51.3528208,1197.0
2352,35.7021707,51.3528208,1197.0
2375,35.7021707,51.3528208,1197.0
2400,35.7021707,51.3528208,1197.0
2426,35.7021707,51.3528208,1197.0
2450,35.7021707,51.3528208,1197.0
2476,35.7021707,51.3528208,1197.0
2500,35.7021707,51.3528208,1197.0
2525,35.7021707,51.3528208,1197.0
2551,35.7021707,51.3528208,1197.0
2575,35.7021707,51.3528208,1197.0
2600,35.7021707,51.3528208,1197.0
