Milliseconds,X,Y,Z
5,0.94084007,0.29472995,9.756964
29,0.86633486,0.29885277,9.763736
54,0.84780717,0.30364335,9.765214
78,0.8656713,0.30949005,9.763463
104,0.8693971,0.310892,9.763088
128,0.85366887,0.31772652,9.764256
153,0.82542115,0.32623476,9.766404
179,0.86264056,0.30963004,9.763727
203,0.89661753,0.3074385,9.760735
228,0.92490655,0.33275828,9.757264
254,0.9714063,0.36782968,9.751485
278,1.0931698,0.3719471,9.73843
303,1.084573,0.38477775,9.7388935
329,1.0636373,0.41784218,9.73984
353,1.1099858,0.45535582,9.732984
378,1.1166891,0.5345583,9.728188
405,1.0254018,0.4304693,9.743389
428,1.1186042,-0.075707495,9.74235
453,1.0070033,-0.34494346,9.74871
478,1.2964907,-0.7789669,9.689309
503,1.6756486,-0.94629675,9.615982
528,1.8782119,-1.1708338,9.553631
553,1.9850286,-1.4273139,9.49699
579,2.877816,-1.9901799,9.161209
603,4.1174507,-2.4892008,8.545224
628,4.5811863,-2.6883535,8.243535
654,4.9568124,-2.8693135,7.9603667
678,5.315265,-3.110381,7.6317677
703,6.094076,-3.3552082,6.9119606
728,6.4783173,-3.428574,6.5151114
753,7.194933,-3.4317286,5.711967
778,7.663016,-3.4777772,5.0352397
803,8.23466,-3.5740561,3.9480233
829,8.359691,-3.6484668,3.6020327
853,8.410792,-3.7460291,3.3758304
879,8.38548,-3.8570404,3.3132083
903,8.250661,-4.0779815,3.3863032
928,8.169129,-4.1689982,3.472056
953,8.154823,-4.19638,3.472699
979,8.059708,-4.1633425,3.7253308
1003,8.118709,-4.2583294,3.4818957
1028,8.121342,-4.262484,3.4706511
1054,8.067085,-4.246178,3.6142068
1079,8.034272,-4.203016,3.7357087
1104,8.045855,-3.9838614,3.9450545
1128,8.161507,-3.851168,3.837799
1154,8.197496,-3.860214,3.7510238
1178,8.176604,-3.9146261,3.7402172
1203,8.14916,-3.9762542,3.7350998
1229,8.130788,-4.055166,3.6900284
1253,8.142421,-4.1133933,3.5988011
1278,8.033133,-4.380101,3.5290067
1303,8.005819,-4.768961,3.055201
1331,7.9200077,-5.0059166,2.8956287
1353,7.661375,-5.3839474,2.9132159
1378,7.2096066,-5.9124613,3.0388741
1403,7.025915,-6.1479683,3.001564
1428,7.7609463,-5.431102,2.5379586
1454,7.832234,-5.340435,2.5112255
1478,7.7933617,-5.3846126,2.5376863
1504,7.8321486,-5.3712974,2.4447913
1528,7.7833424,-5.4685903,2.3842163
1553,7.55819,-5.731473,2.4888492
1579,7.214994,-6.1096525,2.6050708
1603,6.713464,-6.743696,2.371149
1629,6.3405066,-7.0582533,2.4798028
1653,6.1798058,-7.1728954,2.5553782
1678,6.0957146,-7.2514863,2.5354674
1704,6.079186,-7.269152,2.5245411
1728,6.3813214,-7.0452924,2.411012
1754,6.6684985,-6.772007,2.4169054
1778,6.75545,-6.638295,2.5430932
1803,6.8422227,-6.5325255,2.5846636
1829,7.32784,-6.15847,2.1322281
1853,7.5741467,-5.919032,1.9410694
1879,7.7271166,-5.7314744,1.900593
1903,7.3616824,-6.101112,2.180013
1928,6.15809,-7.273735,2.3110814
1954,5.9202323,-7.516241,2.1511276
1978,5.830363,-7.581814,2.1664162
2004,5.8995194,-7.5543146,2.0732558
2028,5.9476614,-7.5448303,1.967549
2053,6.061744,-7.4862385,1.838988
2079,6.1644716,-7.450815,1.6294279
2103,6.197621,-7.4103727,1.6870867
2129,6.1619315,-7.4319997,1.7223139
2153,6.1101413,-7.51085,1.5568208
2178,6.080512,-7.5438414,1.5126868
2204,6.051273,-7.559938,1.5491366
2228,5.971671,-7.630347,1.5123945
2254,6.0839024,-7.5729475,1.3442426
2278,6.227859,-7.452448,1.3583723
2303,6.413803,-7.268345,1.4848161
2329,6.39981,-7.247257,1.640147
2353,6.184607,-7.4688554,1.4619251
2378,5.755362,-7.8600516,1.1250703
2404,5.5602493,-8.012233,1.0286561
2428,5.424737,-8.105251,1.0234836
2453,4.590121,-8.589715,1.1480324
2479,4.289196,-8.723144,1.2961313
2503,3.7014704,-8.99057,1.2802924
2529,3.0571015,-9.280103,0.8391733
2553,2.6685483,-9.4299,0.35526848
2578,2.1993818,-9.497697,1.0615354
2604,2.1253095,-9.545809,0.728685
2628,2.1253095,-9.545809,0.728685
2654,1.7762086,-9.638548,0.33744875
2678,0.710315,-9.779875,-0.14103974
2703,0.42838117,-9.792857,-0.29467082
2729,0.32821497,-9.789906,-0.4694896
2753,0.34008795,-9.783019,-0.5892926
2779,0.530786,-9.728037,-1.1198033
2803,0.35864455,-9.750497,-0.9846685
2828,-0.07276198,-9.788035,-0.59954053
2854,-0.43184504,-9.794415,-0.23093241
2878,-0.53324646,-9.755347,-0.84807676
2903,-0.6598258,-9.732399,-1.0076848
2929,-0.79299176,-9.711684,-1.10668
2953,-0.81758916,-9.701553,-1.1754957
2979,-0.8209204,-9.675398,-1.372281
3003,-0.8309791,-9.652337,-1.5206078
3028,-0.8189759,-9.613152,-1.7569821
3054,-0.78527904,-9.554899,-2.0634012
3078,-0.6634599,-9.394933,-2.7322984
3103,-0.6226978,-9.308951,-3.0209374
3129,-0.71518266,-9.085629,-3.6208074
3153,-0.68371594,-8.956914,-3.934033
3179,-0.21190056,-8.740865,-4.4410324
3203,-0.016797014,-8.67608,-4.571186
3228,0.07390871,-8.6221075,-4.671636
3254,0.072630644,-8.504392,-4.8826666
3278,-0.31719664,-8.4619055,-4.9463053
3303,-1.5638559,-8.487935,-4.656146
3328,-1.1531304,-8.578962,-4.6089134
3354,-0.7789648,-8.797134,-4.2631
3378,-0.8972886,-8.926865,-3.959336
3403,-1.5696847,-9.083914,-3.3449934
3429,-1.4096382,-9.305393,-2.7555346
3453,-0.8402684,-9.48009,-2.3647885
3478,-0.19053957,-9.588858,-2.0464327
3504,-0.62941796,-9.599687,-1.9026926
3528,-0.9724029,-9.586145,-1.8250055
3554,-1.1860805,-9.589918,-1.6724458
3578,-1.2045557,-9.617849,-1.4887602
3604,-1.0508739,-9.664586,-1.2891157
3628,-0.9629642,-9.675655,-1.2746687
3653,-0.8600972,-9.691042,-1.2305826
3679,-0.5485918,-9.7328415,-1.0682834
3703,-0.36019063,-9.750113,-0.9879039
