Milliseconds,X,Y,Z,cos,headingAccuracy
2,0.03822912,-0.032738917,0.529689,0.8466973,0.17453292
26,0.036344092,-0.029447006,0.5286314,0.8475617,0.17453292
51,0.03609825,-0.028452685,0.53009415,0.84669214,0.17453292
76,0.036857586,-0.02904192,0.53067976,0.84627247,0.17453292
102,0.03700588,-0.029182702,0.53027666,0.8465138,0.17453292
126,0.036916833,-0.028260754,0.5315668,0.8457395,0.17453292
151,0.036548156,-0.026762635,0.5326341,0.84513247,0.17453292
180,0.036964364,-0.028672287,0.5360565,0.8428849,0.17453292
201,0.037908815,-0.030065732,0.53895694,0.84094256,0.17453292
230,0.039849944,-0.030495225,0.54084206,0.839626,0.17453292
251,0.042647563,-0.031525053,0.5407802,0.8394904,0.17453292
276,0.04636579,-0.036448095,0.54425293,0.8368456,0.17453292
302,0.04656514,-0.035865676,0.5416833,0.8385252,0.17453292
326,0.04732898,-0.03415215,0.53989273,0.839708,0.17453292
351,0.050126195,-0.03526065,0.5373297,0.8411426,0.17453292
377,0.053367756,-0.033946175,0.52826667,0.8467195,0.17453292
401,0.046356134,-0.032810304,0.5281279,0.8472635,0.17453292
426,0.02879815,-0.049488086,0.55925614,0.8270152,0.17453292
452,0.015148415,-0.052198216,0.574039,0.8170221,0.17453292
476,0.008773025,-0.07684898,0.6070929,0.79085743,0.17453292
501,0.01600456,-0.09728936,0.6235057,0.7755767,0.17453292
526,0.016813591,-0.112328604,0.6446045,0.7560321,0.17453292
552,0.01514213,-0.12473563,0.6720097,0.7298046,0.17453292
576,0.042929024,-0.17625393,0.73487526,0.65349066,0.17453292
601,0.08722606,-0.23813109,0.7546265,0.60516447,0.17453292
627,0.10926315,-0.26030415,0.7679182,0.5749825,0.17453292
651,0.13051371,-0.27766964,0.78192395,0.5426423,0.17453292
676,0.15169503,-0.29644015,0.7946825,0.50753486,0.17453292
701,0.19731587,-0.32962787,0.79747003,0.46524557,0.17453292
727,0.22033384,-0.3453618,0.79339516,0.45022476,0.17453292
751,0.25783366,-0.37721685,0.769193,0.44673413,0.17453292
776,0.28805056,-0.40037617,0.75444263,0.43306133,0.17453292
802,0.3315373,-0.43449953,0.7310626,0.40846136,0.17453292
826,0.3450937,-0.44413713,0.72611994,0.39547744,0.17453292
851,0.35577413,-0.4486706,0.7266687,0.37956822,0.17453292
877,0.3626714,-0.4467022,0.7336821,0.36143762,0.17453292
901,0.37158275,-0.435055,0.75384545,0.32306412,0.17453292
926,0.37566844,-0.42643598,0.76511526,0.30269492,0.17453292
951,0.38202596,-0.42071107,0.77058023,0.2885558,0.17453292
977,0.38276803,-0.4044127,0.7841566,0.27392963,0.17453292
1001,0.40006402,-0.40301552,0.7848804,0.24797183,0.17453292
1027,0.40527582,-0.3984941,0.78755665,0.23813534,0.17453292
1051,0.40676364,-0.38764682,0.79571414,0.22608028,0.17453292
1076,0.40861744,-0.37757602,0.8021658,0.21679054,0.17453292
1101,0.41066635,-0.3608481,0.8089488,0.21620283,0.17453292
1127,0.42204463,-0.35525346,0.80629605,0.2134479,0.17453292
