Milliseconds,X,Y,Z
2,0.13419515,-0.039392352,0.75856686
26,-0.15300232,0.0042351484,0.45610523
50,-0.76377285,-0.014279723,-0.5768328
76,0.12938374,0.123657584,0.10769749
100,0.48686534,0.1886437,0.6570053
126,0.6447885,0.13505185,0.24709797
150,0.44656986,0.13483536,-0.0153980255
176,-0.04661098,0.13034797,-0.0680933
201,-0.14309466,0.12165809,0.24397755
226,0.065533936,0.28053713,-0.35703945
251,0.3101213,0.37313223,-0.39766598
275,0.74343824,0.45956862,0.14725113
301,1.9404403,-0.47327185,-0.91266155
325,0.050795183,-0.62331426,-1.299942
350,-0.32456586,0.018663168,-0.7768755
376,0.3590185,0.07014108,-0.063137054
400,1.4251419,-0.7002138,-0.32680702
425,1.1994691,-0.058942795,-1.2822876
452,1.3655412,0.30817437,-1.0708494
475,1.851501,0.28762937,-0.829586
500,1.9524183,-0.4920261,-1.7194633
526,1.9013404,-0.7872497,-1.6897688
550,0.53272235,-0.5619738,0.34425068
575,1.7475085,-0.5998527,2.2220297
600,1.7257344,-0.4319384,1.1914988
626,0.5240704,-0.45001137,1.2233629
650,-0.72636855,-0.5840304,0.35100174
676,-0.84783125,-0.57730937,-0.3021164
700,1.3169627,-0.4472494,-0.5677843
725,2.7932134,-0.90363884,-0.63831043
752,-0.12882936,-1.560791,0.68407536
775,0.655923,-1.4157369,1.0045776
800,0.655923,-1.4157369,1.0045776
826,4.898192,-2.6537323,-1.9953289
850,2.3866808,-0.86006063,-1.5752687
875,1.1760876,-0.25794175,-0.9811249
900,4.6352777,-0.3279073,-1.4266691
925,3.942564,-1.4073163,-0.64911747
951,2.2035627,-0.49339634,1.6992207
975,1.0461788,0.8340809,-0.59904003
1000,-0.833719,-0.07126129,-10.108962
1025,-1.6890264,-0.55856985,-10.372281
1050,3.4466648,-2.2904012,-3.975266
1076,5.721119,-3.045677,-0.9629135
1100,3.835794,-3.5604978,-3.7366867
1125,6.5423136,-5.3957205,-1.598474
1150,8.235483,-6.497529,0.10728741
1175,7.8299766,-3.74759,-2.2576513
1200,6.7016873,-1.7462554,-5.8737288
1226,3.6748037,-4.403433,-6.6641207
1250,1.3795767,-1.921972,-5.475897
1276,1.3795767,-1.921972,-5.475897
1301,1.3795767,-1.921972,-5.475897
1325,1.3795767,-1.921972,-5.475897
1350,1.3795767,-1.921972,-5.475897
1375,1.3795767,-1.921972,-5.475897
1401,0.7223301,-2.321048,1.7691925
1425,-0.8535433,-0.7624433,-0.31747127
1450,-1.3091936,-0.7665434,0.3077767
1476,-0.6361313,-0.9900174,0.56184936
1500,-2.5524464,-0.1002574,-2.7157278
1525,-2.8336463,0.64122844,-3.4115782
1550,-2.9559426,0.87307096,-3.641777
1576,-3.6192536,1.2542033,-1.1107757
1600,-2.9935484,0.76785326,0.55587864
1625,-1.1676555,0.4113965,-0.22115302
1650,-0.2111373,-4.518032E-4,-0.3528552
1676,0.68161297,0.01787877,-1.024945
1700,1.2219548,0.5658548,-1.0298452
1725,1.360167,-0.14918208,2.0043547
1750,1.1506786,-2.526781,-0.61909795
1775,2.5567384,-1.772546,-1.3466542
1800,2.3130593,-2.4964356,-0.7077093
1826,0.5028777,-4.044305,-1.4463544
1850,1.2381964,-3.2255168,-1.2584004
1875,1.2381964,-3.2255168,-1.2584004
1901,-2.5630188,-2.9733095,-0.013732195
1925,-5.522426,-3.5439324,-2.3193333
1950,-5.522426,-3.5439324,-2.3193333
1975,5.26097,-1.1776066,-1.4551835
2000,9.581876,2.711423,-2.3540106
2026,6.558937,3.1369376,-1.1455812
2050,-0.06316471,2.0991302,0.13381433
2075,1.572443,3.8864098,-8.225461
2100,-0.037844658,-6.462813,3.1833282
2125,-7.009074,-13.89904,2.6665082
2150,-6.808824,-6.2032866,-1.9000962
2176,-1.7272005,-4.260848,-0.809798
2200,-1.1932244,-2.992673,-0.37506402
2225,-2.1183028,-2.450467,-0.20946729
2251,-0.8108907,0.61807966,-0.36940873
2275,0.3356514,0.8170438,0.8150778
2300,-1.1570358,-0.2537589,-0.49576306
2325,-1.83849,-0.3891406,-0.45685887
2351,-2.7625647,-0.04804516,-0.42940784
2375,-2.8624983,-0.6628394,-1.0627272
2400,-3.3111005,-2.9195762,-1.4914236
2425,-1.7020526,-2.8391547,-0.2731517
2451,-0.6752825,-1.2823257,-1.0687824
2475,-0.42522812,8.711698,-3.1385744
2500,-2.3036075,8.743061,1.244374
2526,-2.7328968,4.4111776,2.0986798
2550,-3.982932,1.5894399,0.75790715
2575,-2.718704,-3.3314586,0.35222328
2601,-2.5081623,-0.40597582,2.118319
2625,-3.0526865,-0.89439726,0.3310467
2650,-2.5269878,-1.6988049,-3.940897
2675,-2.36375,-1.2189865,2.5430155
2701,-4.6283813,-13.79651,-2.0140371
2725,1.5175127,-24.135502,-3.1977794
2750,-8.975767,4.1353054,3.4783592
2775,-4.437552,2.2003365,-1.0146065
2801,-3.1634498,1.8193312,-0.9674739
2825,-2.1324542,1.249918,-0.15609252
2850,-1.4982313,0.77704144,-0.11932528
2875,-1.3754259,0.047761917,-0.97461426
2900,-1.5590483,-0.30396938,-1.4456345
2926,-0.8625244,0.55315113,-1.6047263
2950,-0.5150651,0.24974442,-1.4948107
2975,0.34154972,-0.117510796,-0.9057663
3000,0.5735893,-0.21218777,-1.0884849
3026,0.44456023,0.08606243,-1.7247205
3050,-0.05370909,0.6309595,-1.6478068
3075,-1.9175823,-0.1788826,-1.1630383
3100,-2.1295037,-1.9213724,-1.240735
3125,0.5970629,-2.8704958,-3.4128222
3151,1.5472306,-2.1519222,-2.8191793
3175,0.913955,-1.1854277,-2.3500633
3200,-2.6066737,1.3899632,2.7689548
3226,-0.27721107,3.2421093,1.4303662
3250,0.36806816,4.481639,-3.0818048
3275,-2.0054688,4.270733,-2.5541792
3300,1.8377721,3.0842505,-2.254478
3325,2.6027153,3.4644165,-1.8815699
3351,1.5417396,4.170719,-1.0326903
3375,0.6832868,4.285139,-1.0253534
3400,0.58623135,3.7728577,-1.9050493
3426,0.5149349,2.8945494,-2.2085962
3450,0.050055802,1.5446539,-2.7525694
3475,-0.738232,-0.016926765,-3.8870764
3501,-0.32859725,-1.2164335,-6.353914
3525,-0.74017465,0.46971178,-5.640362
3550,-0.14898193,1.434237,-4.2860866
3576,0.9095118,1.1540937,-3.0923781
3600,-1.1355312,-0.4093175,-4.2029834
3625,-4.1703515,-2.195034,-4.0926576
3651,-2.9345703,-3.7474718,-3.1110125
3675,2.8738868,1.2312388,4.360772
3700,-5.3825474,3.2583008,3.0649142
3726,-3.0291123,-3.6251402,3.7275543
3750,0.48543847,-6.400263,7.497528
3775,3.250185,-4.32166,3.910612
3801,1.37776,1.3658457,3.5869997
3825,-1.1335889,0.9939518,1.9064391
3851,-0.6538273,-0.27317238,2.300683
3875,1.1354033,-1.7164841,2.832678
3900,2.7994843,-2.7326164,3.130039
3926,3.006284,-0.30381203,3.039617
3950,1.1803218,0.81772614,2.8311083
3975,-0.65279543,0.54646873,2.3436232
4001,-2.6595159,0.3752985,0.96309376
4025,0.3103519,-0.008419037,1.6950259
4050,1.6662487,-0.6170683,2.3992035
4076,1.5522317,-1.3198795,2.5877898
4100,0.96255773,-2.037346,2.0989518
4125,-0.27059054,-0.9737873,-2.2822266
4151,0.16627818,-1.9867105,-2.112504
4175,2.1058562,-3.7082691,0.20452166
4201,2.6537592,-2.8459873,-0.16644752
4225,5.4653354,-4.152276,1.1321219
4250,4.3980455,-3.034851,2.3688197
4276,2.1834602,-2.0387897,2.275327
4301,-1.2307786,-1.4166641,-0.26636195
4325,-5.3386035,-2.1902761,2.8097477
4350,-5.249227,-4.3229465,3.3195117
4376,-6.6699653,-2.802353,-2.0015774
4400,-5.9236226,-1.4468975,-2.6033013
4426,-0.12668633,0.58891773,2.803559
4450,1.6127613,1.3023787,2.0484462
4476,1.0453988,2.2406874,1.0947181
4500,0.09995079,4.056612,2.6970828
4525,-0.12930787,5.681178,1.8406904
4551,1.0954145,8.751927,0.30432457
4575,0.83493984,8.470144,0.21959332
4601,0.07926297,7.9786835,0.56228817
4626,-0.10176182,7.2768984,-0.122489795
4650,0.18355739,4.194427,-4.3425064
4676,1.2667365,-0.88862944,-8.712922
4701,4.4919634,-8.734537,-14.824629
4725,0.1479643,-8.087533,-6.6776466
4751,-1.5638225,3.4362936,-4.8363757
4775,-0.32314998,0.36614895,-0.83815336
4800,-2.9639907,-5.1968517,0.7759042
4826,-0.030777276,-7.7500143,2.2882257
4850,-4.555906,7.1645603,4.7734327
4875,-1.7655209,4.633749,7.6857967
4900,3.147716,-6.617918,0.80590487
4925,3.9717755,-5.093028,2.2927988
4950,-0.03238821,3.1249056,1.591917
4976,-1.2662234,2.975154,1.4564943
5000,-0.1918366,-0.03788662,1.7665175
5026,0.6000358,-1.1073351,1.6780446
5050,0.73631614,0.57091904,0.48662627
5075,-1.40199,1.3063097,1.1535972
5100,-1.0039119,0.90582275,-0.048020363
5126,1.1776843,0.73705673,0.593686
5150,3.143559,0.77287006,1.2511874
5175,0.7432096,-1.1270561,0.023991764
5201,-1.7783408,-1.5791264,-2.7688632
5227,0.79088104,-2.2189207,0.57609856
5250,1.0017523,-2.0856476,0.35316443
5276,2.6873956,-2.9190798,-0.3833872
5301,2.8889976,-4.3851795,-0.2845981
5325,3.9646208,-4.464795,-0.3242004
5351,3.7296076,-3.2181854,0.43842864
5375,3.7296076,-3.2181854,0.43842864
5400,3.7296076,-3.2181854,0.43842864
5426,3.7296076,-3.2181854,0.43842864
5452,3.7296076,-3.2181854,0.43842864
5475,-6.6523705,-2.4332237,-0.6774292
5501,-4.250155,-1.2641888,0.118261695
5526,-1.9898012,-0.008343697,1.0988969
5550,-0.66726744,1.346839,1.5931053
5576,-0.14559364,4.237624,2.1810205
5600,0.047173306,4.72396,1.596282
5628,0.37353486,4.2625837,1.7461538
5650,-0.4019107,5.278123,1.7761893
5675,-0.90598416,6.3357897,1.6943774
5701,-0.46702373,6.635825,-1.5591006
5727,0.16819444,5.387978,-3.3040395
5750,1.4933076,1.3127213,-6.4520216
5776,4.011476,-5.3831654,-10.268827
5800,0.068825096,-3.224885,-8.8635235
5827,-0.55816114,1.5482397,-4.867756
5851,-3.1386728,0.017181396,-1.8522863
5876,-5.327475,-5.219409,-3.8888855
5900,-0.26697052,1.6418734,5.4125366
5926,-1.3475225,3.582655,5.8571453
5951,-1.7153251,0.5247278,6.2721276
5975,-0.044982612,-5.020276,3.9135764
6001,0.53317016,-0.9610319,1.4260316
6026,-1.131592,2.3248568,1.2943621
6050,-1.7883811,2.5359735,1.5375636
6075,-0.35114425,0.389884,1.929326
6101,0.8804461,-0.18527603,2.0935957
6125,1.8102689,0.43115902,1.6428167
6152,1.4149933,1.2994041,1.4234648
6177,0.46028647,1.8534756,1.2919521
6200,0.63894147,1.3180313,1.2987362
6226,1.2553439,0.6626797,1.4501299
6251,0.89707756,-0.42491913,0.87750244
6276,0.5260663,-2.0441093,-0.4074931
6300,0.08238819,-3.3256493,-2.0683851
6326,1.7610285,-3.2503853,-0.09991431
6352,3.199614,-3.5096455,-0.020037651
6377,2.5469694,-3.5319452,-0.3115933
6401,2.7982082,-4.08364,-0.91321826
6426,2.8073223,-2.7457495,0.9630579
6452,1.0641799,-1.9952173,0.25815582
6477,-1.6794033,-2.1550941,4.4878855
6500,-4.148565,-2.9999266,3.3832345
6526,-6.93696,-3.2063866,-0.2514456
6552,-6.3280506,-2.3336143,-0.5824894
6576,-3.8559403,-0.9332447,0.22517258
6600,-0.41367257,-0.08388424,2.4983914
6625,1.2932699,2.564168,2.5327263
6650,0.74940014,4.626524,2.6201544
6677,0.13197184,6.4964743,2.5003927
6702,-0.31617767,7.655978,2.5533757
6726,-1.0271796,8.682839,1.2186751
6751,-0.9953017,8.6348505,-0.29041204
6777,-0.81911755,7.784603,-1.717208
6801,-0.25195682,5.361835,-3.8726432
6825,4.1299653,-7.816209,-14.070157
6850,2.0972857,-8.265333,-10.898846
6876,0.8957317,-3.5955162,-7.3348722
6900,0.8177158,0.7080641,-6.278398
6925,-3.5907521,-1.0087461,-1.3699136
6951,0.071798146,-8.172266,1.6869433
6975,-1.0496387,-1.3485823,4.247118
7001,-2.5722513,3.9950686,4.897567
7026,-2.8218045,4.2412977,5.815858
7050,1.958461,-5.090891,3.8092577
7077,3.127608,-3.8179083,2.0725498
7102,2.571294,-0.4880209,1.2570665
7126,1.3198248,1.4666224,1.2281774
7150,-0.42214042,2.4662495,0.5146005
7175,-0.5404434,2.2652178,0.919631
7201,-0.50441384,1.473505,1.3708894
