Milliseconds,X,Y,Z
4,0.0,0.0,0.0
26,0.0,0.0,0.0
52,0.0,0.0,0.0
76,0.0,0.0,0.0
101,0.0,0.0,0.0
126,0.0,0.0,0.0
152,0.0,0.0,0.0
176,0.0,0.0,0.0
201,0.0,0.0,0.0
227,0.0,0.0,0.0
251,0.0,0.0,0.0
276,0.0,0.0,0.0
301,0.0,0.0,0.0
327,0.0,0.0,0.0
351,0.0,0.0,0.0
376,0.0,0.0,0.0
401,0.0,0.0,0.0
427,0.0,0.0,0.0
451,0.0,0.0,0.0
476,0.0,0.0,0.0
501,0.0,0.0,0.0
526,0.0,0.0,0.0
551,0.0,0.0,0.0
576,0.0,0.0,0.0
602,0.0,0.0,0.0
628,0.0,0.0,0.0
651,0.0,0.0,0.0
677,0.0,0.0,0.0
701,0.0,0.0,0.0
726,0.0,0.0,0.0
751,0.0,0.0,0.0
777,0.0,0.0,0.0
801,0.0,0.0,0.0
826,0.0,0.0,0.0
852,0.0,0.0,0.0
876,0.0,0.0,0.0
901,0.0,0.0,0.0
926,0.0,0.0,0.0
952,0.0,0.0,0.0
976,0.0,0.0,0.0
1001,0.0,0.0,0.0
1026,0.0,0.0,0.0
1051,0.0,0.0,0.0
1076,0.0,0.0,0.0
1102,0.0,0.0,0.0
1126,0.0,0.0,0.0
1151,0.0,0.0,0.0
1176,0.0,0.0,0.0
1202,0.0,0.0,0.0
1226,0.0,0.0,0.0
1251,0.0,0.0,0.0
1277,0.0,0.0,0.0
1301,0.0,0.0,0.0
1326,0.0,0.0,0.0
1351,0.0,0.0,0.0
1376,0.0,0.0,0.0
1402,0.0,0.0,0.0
1426,0.0,0.0,0.0
1451,0.0,0.0,0.0
1477,0.0,0.0,0.0
1501,0.0,0.0,0.0
1526,0.0,0.0,0.0
1551,0.0,0.0,0.0
1577,0.0,0.0,0.0
1601,0.0,0.0,0.0
1627,0.0,0.0,0.0
1651,0.0,0.0,0.0
1677,0.0,0.0,0.0
1701,0.0,0.0,0.0
1726,0.0,0.0,0.0
1751,0.0,0.0,0.0
1777,0.0,0.0,0.0
1801,0.0,0.0,0.0
1826,0.0,0.0,0.0
1851,0.0,0.0,0.0
