Milliseconds,X,Y,Z,cos,headingAccuracy
5,0.080053054,0.011916557,-0.092073664,0.9924575,0.17453292
28,0.07986877,0.0123115815,-0.09372545,0.9923129,0.17453292
53,0.08169164,0.019145815,-0.09960345,0.9914833,0.17453292
78,0.08209823,0.018317148,-0.10298372,0.9911199,0.17453292
104,0.08219698,0.016405765,-0.1021629,0.9912302,0.17453292
128,0.08229009,0.014016292,-0.10103985,0.9913742,0.17453292
154,0.08305128,0.0119095575,-0.099103265,0.99153376,0.17453292
178,0.08361538,0.011835969,-0.10151062,0.99124366,0.17453292
203,0.083958715,0.012306871,-0.10141833,0.9912183,0.17453292
229,0.085254334,0.011838955,-0.10268757,0.9909828,0.17453292
253,0.086748846,0.010630902,-0.10194438,0.9909435,0.17453292
278,0.08833748,0.0032814357,-0.10023196,0.9910294,0.17453292
304,0.08649091,-0.003428938,-0.095613874,0.9916479,0.17453292
328,0.084993765,-0.0035878748,-0.09747589,0.9915955,0.17453292
353,0.0856799,-0.0026414865,-0.10059719,0.9912276,0.17453292
378,0.08199896,-0.012320065,-0.0955033,0.9919695,0.17453292
403,0.08197549,-0.012475275,-0.097381026,0.99178696,0.17453292
428,0.081275985,-0.021676661,-0.090678945,0.9923214,0.17453292
453,0.08273463,-0.027087823,-0.08724599,0.9923756,0.17453292
479,0.08508431,-0.041608367,-0.07978176,0.99230254,0.17453292
503,0.08383958,-0.04954051,-0.07466852,0.9924421,0.17453292
528,0.08134603,-0.057521027,-0.070896454,0.9924958,0.17453292
554,0.07849945,-0.0596194,-0.07360696,0.99240386,0.17453292
578,0.06863492,-0.07153369,-0.07172209,0.9924858,0.17453292
603,0.06608902,-0.07712328,-0.067635484,0.9925269,0.17453292
629,0.06362052,-0.07828207,-0.0673519,0.9926168,0.17453292
653,0.061014406,-0.07557287,-0.073262654,0.9925717,0.17453292
678,0.05668806,-0.07190849,-0.08222017,0.99239886,0.17453292
703,0.054857206,-0.077054024,-0.0805755,0.99225044,0.17453292
729,0.051099718,-0.08760877,-0.07504041,0.9920093,0.17453292
753,0.039579593,-0.09062113,-0.07509335,0.9922612,0.17453292
779,0.033533726,-0.09208371,-0.07632004,0.9922557,0.17453292
803,0.033533726,-0.09208371,-0.07632004,0.9922557,0.17453292
828,0.0139055895,-0.13394085,-0.054901186,0.9893697,0.17453292
853,0.010153345,-0.14414188,-0.054900445,0.9879808,0.17453292
879,0.010199165,-0.15957443,-0.056607645,0.9855088,0.17453292
903,0.01281707,-0.19250563,-0.03740791,0.98049885,0.17453292
928,0.007323663,-0.20708764,-0.0339278,0.9777065,0.17453292
953,0.0041457927,-0.21197538,-0.037747465,0.9765369,0.17453292
978,0.006218225,-0.2165579,-0.042308863,0.97533274,0.17453292
1003,0.008708554,-0.2383729,-0.046733472,0.9700095,0.17453292
1029,0.0085837245,-0.2529963,-0.041552745,0.96653634,0.17453292
1053,6.559044E-4,-0.27498665,-0.028249674,0.9610327,0.17453292
1078,-0.008565706,-0.29834598,-0.008211492,0.954384,0.17453292
1103,-0.034378354,-0.3671801,0.061439984,0.92748153,0.17453292
1129,-0.042657666,-0.39252958,0.09400919,0.9139273,0.17453292
1153,-0.05026223,-0.41597447,0.12687644,0.899078,0.17453292
1178,-0.044880096,-0.4423703,0.1560395,0.8820125,0.17453292
1203,-0.014582808,-0.5084292,0.22655448,0.8306384,0.17453292
1229,-0.0050520445,-0.5348283,0.25909218,0.80424154,0.17453292
1253,0.0056391456,-0.5530984,0.2799185,0.784663,0.17453292
1278,0.010152348,-0.55303395,0.28631216,0.7823527,0.17453292
1303,0.020437427,-0.5527494,0.30081496,0.7768917,0.17453292
1328,0.025100643,-0.5525573,0.30735946,0.7743259,0.17453292
1354,0.030368367,-0.5522928,0.314729,0.77135986,0.17453292
1378,0.03502275,-0.5520172,0.32121986,0.7686795,0.17453292
1403,0.039293423,-0.5524579,0.3478908,0.7564511,0.17453292
1429,0.041628443,-0.5525674,0.35719636,0.75189567,0.17453292
1453,0.043687522,-0.55036885,0.36809528,0.74812526,0.17453292
1478,0.044496484,-0.54839784,0.37704524,0.7450616,0.17453292
1504,0.049413975,-0.54979944,0.39705357,0.7332307,0.17453292
1528,0.0566306,-0.5559162,0.40687746,0.72263473,0.17453292
1554,0.063952394,-0.5628376,0.4150599,0.71193343,0.17453292
1578,0.066339985,-0.56137973,0.42069426,0.7095549,0.17453292
1603,0.066452645,-0.55073255,0.4292976,0.7127281,0.17453292
