Milliseconds,X,Y,Z
2,-0.19046724,0.31325954,-0.19939232
26,-0.28029424,-0.42814648,0.08921814
51,-0.14614388,0.057983845,0.06366444
77,-0.02802287,-0.09819499,0.41088676
101,0.25501597,0.057730824,0.10232353
126,-0.019728422,0.0011599362,-0.009942055
151,0.043096006,-0.072133124,-0.39882755
177,-0.026965514,0.08684027,0.094963074
201,0.20036116,-0.13567677,-1.0302114
226,0.21043108,-0.08271074,-0.030134201
252,0.17590877,0.24205583,0.30870152
276,-0.56494844,-0.16560516,0.4040289
302,-0.30760953,0.12075257,0.573328
326,0.2287846,5.297363E-4,-0.35638714
351,0.23404011,-0.031719923,-0.5962391
377,0.30618614,-0.003618449,-0.4055481
401,-0.15649718,-0.07367346,0.19848442
426,-0.15191731,-0.21227387,0.3844204
452,-0.015851587,-0.09854546,0.30900383
476,0.08031003,-0.41329306,-0.07096863
501,-0.07746753,0.10625607,0.47299194
526,0.053649113,-0.30501673,-0.8706989
552,0.3546847,0.2981811,-0.39966202
576,-0.6011517,0.022107929,0.70644283
601,-0.54056716,0.029421091,0.17607403
627,-0.43716684,0.030393451,0.023757935
651,0.15725267,0.09572968,-0.9355831
676,-0.14155953,0.09859583,-1.07689
701,0.04360409,0.13595793,0.21333694
727,0.28380018,-0.32416388,-0.052775383
751,0.024710909,0.34181958,0.97879696
776,-0.105808154,-0.23747066,-0.2668085
802,0.31476223,0.43203667,0.8698273
827,-0.3281975,0.16585255,0.56635666
851,-0.33267877,0.034711063,0.0629015
876,-0.2694988,0.12905431,-0.5563555
902,0.5025523,-0.19160104,-1.0901556
926,0.5920672,0.10234302,-0.34675884
951,0.25091755,0.2712607,-0.14790058
976,-0.13486545,-0.054355085,0.39208603
1002,-0.3973057,-0.12326613,0.27568722
1026,-0.12186235,0.17784306,0.2602272
1051,0.04442832,-0.15911892,-1.353384
1077,0.47786984,0.14438045,-0.17944908
1101,-0.22945254,-0.08531284,-0.19791126
1126,-0.07941653,0.099049,0.8609104
1152,-0.06826882,-0.39669406,0.45203495
1176,-0.0073381066,-0.29362762,-0.15197372
1201,0.22636662,0.0058765113,-0.39911556
1227,-0.20756806,-0.091172576,-0.24948978
1251,0.03179878,0.23122436,0.019032478
1276,0.044319153,-0.097575605,-1.0776672
1302,-0.14434937,0.17605957,-0.29771805
1326,-0.10035452,0.22874412,1.0346575
1351,-0.27525806,-0.20241532,0.072351456
1376,0.12677372,-0.019047916,0.99307156
1402,0.2547359,-0.14683169,-0.15868282
1426,0.26118082,-0.06968045,0.41718578
1451,0.11197759,0.040409237,-0.20227718
1477,0.066430554,-0.017926395,-0.22979355
1501,0.2172346,0.10920662,-0.19690037
1526,-0.06539039,0.18123242,-0.34327507
1552,0.047347054,0.11936185,0.25368595
1576,-0.040760174,-0.08776349,-0.27871323
1602,-0.029255807,-0.020403385,-0.24842548
1626,0.03622827,-0.08434993,-0.2505722
1651,0.048453346,0.017916441,0.29919338
1677,0.12734035,-0.10915056,0.47072697
1701,-0.20625481,-0.05795297,0.67366123
1726,-0.25661027,-0.17701668,0.34490585
1751,-0.093057215,0.080821216,-0.13206577
1777,0.28805506,0.06371236,-0.5625982
1801,0.27178514,0.015529722,-0.5983219
1826,0.19281042,-0.21296737,-0.23221779
1851,-0.10228716,-0.069342434,-0.37743092
1877,-0.25070077,0.061232567,0.060707092
1901,-0.12854303,0.18602204,0.0068712234
1926,0.053219914,-0.07305151,0.017697334
1952,0.1990514,-0.053541124,-0.050845146
1976,0.19748785,-0.19641742,0.17513943
2001,0.037876263,-0.121813744,0.48856926
2027,0.03677948,-0.013885409,0.29706287
2051,-0.41087717,-0.13891187,0.37976933
2076,-0.23410587,0.10759866,-0.043884277
2101,-0.060346544,-0.08995545,0.32514858
2127,0.25673485,-0.029948503,-0.13344193
2151,0.09317346,0.051131308,-0.6810484
2177,-0.11807351,-0.016706169,-0.2314415
2201,-0.14190449,0.07740942,0.08542633
2226,-0.29289708,0.0030072927,0.6275835
2251,-0.09179102,-0.06456989,-0.12597656
2277,-0.1911017,0.10668829,0.9075422
2301,-0.13150692,-0.2196768,-0.04335594
2326,0.23459461,0.12007412,0.22606468
2352,0.05957696,-0.1290803,-0.3639288
2376,-0.33687735,0.16362947,0.49507236
2401,-0.24118887,0.10878569,0.040304184
2426,-0.31591365,-0.1620633,0.1752758
2452,0.024334937,-0.044531107,-0.22533894
2476,-0.23211122,0.055094928,0.22608662
2501,-0.23127744,0.20665467,-0.2488308
2526,-0.10363945,-0.059565216,0.4678383
2552,-0.13304502,-0.14815977,0.044345856
2576,0.2536526,0.016964525,0.029683113
2601,0.21916837,-0.051543146,0.6222744
2626,-0.2875022,-0.2121267,0.28789806
2651,-0.17293063,-0.10355887,0.29882336
2677,-0.03855899,0.16441694,-0.23506737
2701,0.12803137,0.17102987,-0.5152216
2726,0.11657643,-0.25042868,-0.9524393
2751,0.18238217,-0.103333056,-0.796278
2777,-0.11681482,0.06172234,0.5718851
2801,-0.015303612,-0.021475732,0.17643929
2826,-0.13728753,0.02095735,0.25546646
2851,-0.022582412,0.048158765,-0.09016037
2876,0.4504746,-0.034135044,-1.9498768
2901,-0.48751196,-0.055286705,0.403162
2927,1.9876971,-0.23319477,1.9051847
2951,-0.959499,0.29491872,-0.8783579
2976,0.7194263,0.07003999,1.3653574
3002,-0.90137076,1.0172608,1.6316538
3026,-0.21156138,-0.8283988,-2.855854
3051,0.6660734,0.9988081,1.8833542
3077,0.19828779,0.7166022,-1.2137222
3101,0.7444904,0.20313048,-0.15747547
3126,0.20279837,-0.3405385,0.058044434
3152,-0.4726539,0.7922206,0.5228071
3176,0.5639859,-1.3286988,2.0054054
3201,-0.39323604,-0.4353727,-1.3073397
3226,1.358114,-0.86032534,-1.4632864
3252,-0.36090392,1.6719666,3.4171867
3276,0.9177115,0.7441564,2.299777
3301,-0.4878418,-0.42429757,-0.68287945
3326,-0.021849379,0.12826264,0.6572304
3352,0.44823924,-0.49536592,-0.028009415
3376,0.08987677,0.40721303,-0.16687012
3402,0.16590199,-0.1383549,0.19865513
3426,0.09626642,-0.23457557,-0.49702835
3451,0.347592,0.2614156,0.256629
3476,0.61716175,-0.01714313,0.27568722
3502,-0.074208185,-0.18295377,0.3510313
3526,-0.5498641,0.082753,0.20580864
3552,-0.36382702,-0.107277215,0.45568466
3576,-0.038300946,-0.035664856,-0.4606352
3601,0.13705926,-0.0039923787,0.03578663
3627,0.46474856,0.0870778,-0.45573902
3651,0.4074042,0.0021893382,-0.59229565
3676,0.5618378,0.09283316,0.06518841
3702,-0.06316083,-0.043313444,0.5277624
3726,-0.31258208,0.052868128,0.59875965
3751,-0.31810436,-0.07074106,-0.42821026
3776,-0.024499536,0.0716337,-0.15947914
3801,0.35903442,-0.10708094,-0.64231396
3827,0.21793368,0.16950768,0.27332783
3851,0.092107154,-0.105389416,-0.07586765
3876,0.13282132,-0.13936484,0.38903522
3901,0.09459624,-0.17464751,0.22769833
3927,0.3489669,-0.089788616,-0.08037281
