Milliseconds,X,Y,Z
1,-9.051514,54.927063,-19.442749
27,-9.051514,52.789307,-22.198486
51,-9.051514,52.789307,-21.510315
77,-8.343506,53.501892,-20.13092
101,-9.051514,52.789307,-20.820618
126,-9.7595215,53.501892,-20.13092
151,-7.635498,54.927063,-21.510315
177,-9.7595215,55.63965,-20.13092
201,-7.635498,52.789307,-20.820618
226,-9.7595215,54.927063,-20.13092
252,-7.635498,54.214478,-20.13092
276,-8.343506,53.501892,-19.442749
301,-9.051514,52.789307,-19.442749
326,-9.051514,53.501892,-22.198486
351,-8.343506,53.501892,-20.13092
377,-7.635498,54.214478,-20.13092
401,-9.7595215,52.07672,-20.13092
427,-8.343506,53.501892,-20.13092
451,-9.051514,52.07672,-19.442749
476,-6.92749,54.214478,-19.442749
501,-8.343506,54.214478,-19.442749
526,-9.051514,53.501892,-20.820618
552,-7.635498,54.214478,-19.442749
576,-9.051514,53.501892,-19.442749
601,-8.343506,53.501892,-18.753052
627,-7.635498,52.789307,-20.13092
651,-7.635498,54.927063,-19.442749
676,-9.051514,53.501892,-19.442749
701,-8.343506,54.927063,-20.13092
727,-8.343506,53.501892,-21.510315
751,-7.635498,54.214478,-18.753052
776,-9.051514,56.352234,-20.13092
802,-6.2194824,52.07672,-19.442749
826,-6.92749,54.927063,-21.510315
851,-8.343506,53.501892,-20.13092
876,-9.051514,54.927063,-21.510315
902,-6.2194824,54.927063,-22.198486
926,-9.7595215,53.501892,-20.820618
951,-7.635498,54.214478,-20.820618
976,-6.92749,53.501892,-19.442749
1001,-7.635498,55.63965,-20.13092
1026,-6.2194824,54.214478,-20.13092
1051,-8.343506,53.501892,-21.510315
1076,-6.92749,54.927063,-20.13092
1102,-6.92749,54.214478,-20.13092
1126,-6.2194824,52.789307,-19.442749
1152,-7.635498,54.214478,-19.442749
1176,-6.2194824,54.214478,-19.442749
1201,-6.92749,54.927063,-18.753052
1226,-6.2194824,54.927063,-20.820618
1251,-6.92749,53.501892,-22.198486
1277,-6.92749,53.501892,-19.442749
1301,-6.92749,53.501892,-22.198486
1326,-9.051514,55.63965,-20.13092
1352,-7.635498,54.927063,-18.753052
1376,-7.635498,54.214478,-19.442749
1401,-6.2194824,54.927063,-20.13092
1426,-6.92749,53.501892,-20.820618
1452,-8.343506,54.927063,-19.442749
1476,-6.92749,53.501892,-20.13092
1502,-7.635498,56.352234,-18.753052
