Milliseconds,X,Y,Z,cos,headingAccuracy
1,0.025625218,0.006900736,-0.08000936,0.99644077,0.17453292
26,0.02407628,0.00807092,-0.080882594,0.9964001,0.17453292
52,0.025483422,0.009539332,-0.08157949,0.99629533,0.17453292
76,0.025042232,0.009647623,-0.08151633,0.99631065,0.17453292
101,0.025162729,0.008659512,-0.08156522,0.9963127,0.17453292
126,0.025181375,0.008715847,-0.08229101,0.99625206,0.17453292
151,0.02519662,0.009268705,-0.08119362,0.9963367,0.17453292
176,0.025518881,0.009322948,-0.08173531,0.9962837,0.17453292
201,0.025136508,0.008694172,-0.081059724,0.9963543,0.17453292
227,0.024766454,0.007912968,-0.08140919,0.9963416,0.17453292
251,0.025007224,0.008900456,-0.081222735,0.9963425,0.17453292
277,0.024484118,0.011047607,-0.081860945,0.99628174,0.17453292
301,0.02493544,0.012102877,-0.082586996,0.99619836,0.17453292
326,0.024968412,0.011122251,-0.082573526,0.99621004,0.17453292
352,0.025154853,0.009614784,-0.08134136,0.99632245,0.17453292
376,0.025116522,0.008505133,-0.080374174,0.996412,0.17453292
401,0.024856891,0.0090813935,-0.08150624,0.99632144,0.17453292
426,0.024029143,0.009693813,-0.08162521,0.9963262,0.17453292
452,0.024250552,0.009540181,-0.08227877,0.9962686,0.17453292
476,0.022676641,0.009397259,-0.081203036,0.9963953,0.17453292
501,0.023316465,0.008946256,-0.08086188,0.9964124,0.17453292
526,0.02230683,0.008888601,-0.08123158,0.99640596,0.17453292
551,0.023385566,0.007505438,-0.080123186,0.9964823,0.17453292
577,0.023072591,0.009072556,-0.079655156,0.99651414,0.17453292
601,0.02332106,0.011072213,-0.08031355,0.9964353,0.17453292
626,0.023564788,0.01270224,-0.0805055,0.99639463,0.17453292
651,0.024038432,0.012184419,-0.07977261,0.9964487,0.17453292
677,0.025053391,0.011191597,-0.07975207,0.996437,0.17453292
701,0.025516346,0.010969247,-0.07956601,0.9964426,0.17453292
726,0.024200281,0.009993196,-0.079351455,0.9965028,0.17453292
752,0.025303107,0.009735374,-0.0787658,0.9965244,0.17453292
776,0.02368721,0.009960147,-0.0784076,0.99659014,0.17453292
801,0.025052203,0.00861732,-0.07687849,0.9966884,0.17453292
827,0.024294587,0.010194057,-0.07664368,0.99671036,0.17453292
851,0.024516035,0.011416258,-0.07727379,0.99664307,0.17453292
876,0.025707163,0.011788377,-0.07769149,0.99657625,0.17453292
902,0.025027456,0.010073742,-0.075950675,0.99674654,0.17453292
926,0.025316318,0.0078002247,-0.0762841,0.99673414,0.17453292
951,0.02630339,0.0067869443,-0.0756179,0.99676675,0.17453292
976,0.025660995,0.008549702,-0.07495193,0.9968203,0.17453292
1001,0.025815634,0.012834768,-0.076081656,0.99668473,0.17453292
1027,0.026458887,0.013241916,-0.07518466,0.99673057,0.17453292
1051,0.026119038,0.013244933,-0.07560391,0.9967078,0.17453292
1076,0.02644031,0.0098195635,-0.073720954,0.99688,0.17453292
1101,0.026216427,0.0107426625,-0.073540024,0.99688977,0.17453292
1126,0.026434917,0.010964871,-0.072836354,0.9969332,0.17453292
1152,0.024862302,0.01129328,-0.07300186,0.9969579,0.17453292
1176,0.024054952,0.011668888,-0.07231062,0.99702376,0.17453292
1201,0.024579452,0.010098425,-0.07132294,0.9970992,0.17453292
1226,0.0243315,0.010939683,-0.070807196,0.9971332,0.17453292
1251,0.025189297,0.010762239,-0.07052515,0.99713385,0.17453292
1277,0.026383622,0.011710794,-0.07063476,0.9970845,0.17453292
1301,0.02715289,0.012240571,-0.07061821,0.99705863,0.17453292
1326,0.026905406,0.012331242,-0.07155911,0.9969972,0.17453292
1351,0.0262032,0.013413612,-0.0719872,0.9969711,0.17453292
1377,0.025900345,0.01284277,-0.07191696,0.9969916,0.17453292
1401,0.024718741,0.0122033665,-0.07094396,0.9970993,0.17453292
1426,0.024306616,0.011218654,-0.07044095,0.9971567,0.17453292
1451,0.024469707,0.010795693,-0.070822425,0.99713033,0.17453292
1477,0.024424197,0.010576836,-0.07053153,0.9971544,0.17453292
1501,0.026135959,0.009812191,-0.07027517,0.9971369,0.17453292
1526,0.026906092,0.01004323,-0.070044294,0.9971304,0.17453292
1552,0.02728959,0.009822761,-0.0696628,0.9971489,0.17453292
1576,0.027028454,0.010013773,-0.06996399,0.997133,0.17453292
1601,0.027977427,0.0103363395,-0.06941558,0.99714184,0.17453292
1626,0.02769614,0.010255564,-0.06889238,0.99718684,0.17453292
1652,0.027684737,0.01005427,-0.0685184,0.997215,0.17453292
1676,0.026423357,0.008509814,-0.066994645,0.9973671,0.17453292
1701,0.026163366,0.010249842,-0.06736123,0.9973329,0.17453292
1726,0.025506722,0.0112085845,-0.0682384,0.99727994,0.17453292
1752,0.025857838,0.011549492,-0.0681789,0.99727106,0.17453292
1776,0.02612588,0.010517039,-0.0673807,0.9973298,0.17453292
1801,0.027138596,0.008387551,-0.06618292,0.9974031,0.17453292
1826,0.026330968,0.007721791,-0.06625553,0.9974253,0.17453292
1852,0.027421962,0.008786684,-0.06694052,0.99734133,0.17453292
1876,0.027710358,0.009700695,-0.067569345,0.9972825,0.17453292
1901,0.028194841,0.011013133,-0.06748272,0.99726117,0.17453292
1926,0.027904382,0.010820517,-0.067781664,0.99725115,0.17453292
1952,0.027667329,0.010068656,-0.06832195,0.9972288,0.17453292
1976,0.026829427,0.0093809655,-0.06749486,0.9973147,0.17453292
2001,0.026257154,0.0092477435,-0.067003936,0.9973643,0.17453292
2026,0.025097458,0.00793411,-0.06689676,0.9974126,0.17453292
2052,0.02460862,0.009486802,-0.06715914,0.9973936,0.17453292
2076,0.025084447,0.010332508,-0.06760209,0.9973435,0.17453292
2101,0.024705438,0.010546497,-0.06802677,0.9973218,0.17453292
2126,0.02491278,0.008929803,-0.06643746,0.99743956,0.17453292
2152,0.025204213,0.008630371,-0.06566056,0.9974863,0.17453292
2176,0.025211629,0.009104308,-0.06535941,0.9975017,0.17453292
2201,0.026518876,0.009627549,-0.06551423,0.99745274,0.17453292
2226,0.02648604,0.011102302,-0.06478412,0.99748594,0.17453292
