Milliseconds,X,Y,Z
2,-5.201721,27.915955,-26.194763
27,-5.909729,26.490784,-28.26233
51,-5.201721,27.915955,-28.26233
76,-8.74176,27.20337,-26.88446
102,-5.909729,27.20337,-27.574158
126,-5.909729,26.490784,-26.194763
151,-5.909729,27.20337,-26.88446
176,-7.3257446,25.778198,-27.574158
202,-5.201721,27.915955,-27.574158
226,-6.617737,25.065613,-28.26233
252,-5.909729,27.20337,-27.574158
277,-8.033752,25.065613,-28.26233
301,-6.617737,27.20337,-27.574158
326,-7.3257446,25.778198,-27.574158
352,-8.033752,26.490784,-27.574158
377,-7.3257446,26.490784,-26.88446
401,-8.033752,26.490784,-28.26233
427,-7.3257446,26.490784,-27.574158
452,-7.3257446,25.778198,-26.194763
476,-8.74176,27.20337,-26.194763
501,-8.033752,27.20337,-24.816895
527,-9.448242,28.62854,-24.128723
551,-10.864258,28.62854,-23.439026
576,-10.15625,28.62854,-22.750854
601,-8.033752,30.05371,-22.061157
626,-8.033752,29.341125,-22.061157
652,-10.864258,27.915955,-23.439026
676,-10.864258,30.05371,-22.750854
701,-10.15625,30.05371,-19.993591
727,-10.864258,30.766296,-20.683289
752,-10.864258,30.766296,-20.683289
776,-10.864258,30.05371,-21.37146
801,-10.864258,30.05371,-21.37146
827,-12.988281,30.766296,-19.30542
851,-16.526794,29.341125,-18.615723
876,-15.818787,29.341125,-17.926025
901,-15.818787,27.915955,-16.548157
926,-17.234802,30.05371,-14.482117
951,-17.234802,30.05371,-15.859985
978,-16.526794,28.62854,-14.482117
1002,-20.773315,25.778198,-15.170288
1026,-17.234802,29.341125,-14.482117
1051,-16.526794,30.766296,-12.414551
1076,-13.696289,32.902527,-14.482117
1102,-8.74176,34.327698,-13.102722
1126,-6.617737,35.75287,-15.170288
1151,-5.909729,33.615112,-15.859985
1176,-5.201721,35.040283,-16.548157
1202,-2.3712158,33.615112,-19.30542
1226,-0.24719238,30.766296,-21.37146
1251,-1.663208,29.341125,-22.061157
1276,-0.24719238,28.62854,-22.750854
1302,-0.24719238,27.915955,-23.439026
1326,1.8753052,26.490784,-23.439026
