Milliseconds,X,Y,Z
1,-0.37652546,1.5367424,9.678173
26,-0.38643456,1.5318166,9.678564
50,-0.5057417,1.5453421,9.670912
75,-0.52189565,1.5589205,9.667873
100,-0.48365167,1.5651428,9.668857
126,-0.43561077,1.5722818,9.669982
150,-0.40296388,1.5822994,9.6697645
175,-0.39658442,1.6020484,9.666776
201,-0.406265,1.6077665,9.665424
225,-0.40181297,1.6331967,9.6613455
250,-0.3800701,1.6647661,9.6568365
276,-0.23744328,1.7105963,9.653386
300,-0.09550563,1.6886342,9.6596985
325,-0.092714466,1.6598574,9.664713
351,-0.11769634,1.6709358,9.662531
376,0.086101554,1.6184322,9.671797
400,0.086101554,1.6184322,9.671797
426,0.27733585,1.6204021,9.667873
450,0.38565692,1.6566792,9.658006
475,0.5325463,1.6881675,9.645562
500,0.84152645,1.7044948,9.620651
526,1.0065984,1.6634752,9.611972
550,1.0471231,1.614009,9.616075
575,1.1432227,1.4956919,9.624257
600,1.4136672,1.3888452,9.604324
626,1.4399916,1.3420057,9.607072
651,1.3835499,1.2963967,9.621618
675,1.3247163,1.2576697,9.635029
701,1.4128783,1.1893653,9.631177
725,1.6293588,1.1231673,9.604898
750,1.7053306,0.9037483,9.614857
775,1.7418824,0.7904525,9.618286
801,1.7418824,0.7904525,9.618286
825,2.5841224,0.41406184,9.450992
850,2.7821853,0.351956,9.397125
875,2.8845172,0.33403814,9.366876
900,3.692637,0.38772267,9.076591
927,3.9662497,0.27824253,8.964476
950,4.056919,0.23634131,8.925017
975,4.137483,0.29865482,8.886081
1000,4.5270834,0.38417307,8.690702
1025,4.7890472,0.36890996,8.549814
1050,5.1828666,0.16472483,8.323529
1075,5.5860047,-0.11228825,8.059424
1101,6.6379366,-1.0678427,7.13918
1125,6.9574904,-1.4884022,6.748954
1150,7.210171,-1.9214567,6.3633184
1176,7.515288,-2.1302407,5.928989
1200,7.889673,-2.2247965,5.3827243
1225,8.410618,-2.7975016,4.1959357
1250,8.54305,-2.9497938,3.8059688
1275,8.54305,-2.9497938,3.8059688
1301,8.54305,-2.9497938,3.8059688
1325,8.54305,-2.9497938,3.8059688
1350,8.54305,-2.9497938,3.8059688
1375,8.54305,-2.9497938,3.8059688
1400,8.466664,-3.0743682,3.8774023
1425,8.440438,-3.2572753,3.7841184
1450,8.39108,-3.3323865,3.828233
1475,8.342857,-3.4052258,3.8693092
1500,8.355371,-3.4969666,3.758906
1526,8.331064,-3.6336877,3.6824007
1550,8.379724,-3.688898,3.5132115
1575,8.359945,-3.7088237,3.5392556
1600,8.294938,-3.7283874,3.669266
1625,8.245971,-3.712758,3.793386
1651,8.250655,-3.7233896,3.772724
1675,8.297949,-3.715739,3.6752844
1700,8.372898,-3.6505523,3.5690954
1725,8.214318,-3.71877,3.85566
1750,8.191292,-3.8767436,3.7475317
1776,8.240349,-3.9462552,3.5628788
1800,8.243174,-4.059357,3.4266744
1825,8.129652,-4.4841275,3.1578069
1850,8.08916,-4.65641,3.0089414
1875,8.08916,-4.65641,3.0089414
1901,7.861404,-5.0664725,2.9495034
1925,7.6282024,-5.4680405,2.8427887
1950,7.6282024,-5.4680405,2.8427887
1975,7.767722,-5.373297,2.6382875
2000,8.129599,-4.951849,2.3577967
2025,8.4619875,-4.4829683,2.113799
2050,8.592726,-4.2471437,2.072973
2076,8.817476,-4.0201993,1.503493
2100,8.607582,-4.3831563,1.6934742
2125,8.029563,-5.3127203,1.863199
2150,7.0906334,-6.5663595,1.6662015
2175,6.885656,-6.799529,1.5888795
2200,6.7395225,-6.9536214,1.5480245
2226,6.5742188,-7.1140447,1.5298375
2250,6.485716,-7.23584,1.3223087
2275,6.52318,-7.190361,1.3846375
2300,6.4697914,-7.244064,1.3548914
2325,6.3813176,-7.326494,1.331036
2351,6.1653743,-7.514947,1.297737
2375,6.013234,-7.648372,1.2303693
2400,5.4927154,-8.054646,1.0597876
2425,5.3057566,-8.18308,1.0278842
2450,5.099811,-8.319608,0.9728524
2476,5.3872867,-8.156512,0.78666794
2500,5.581949,-8.007008,0.94871336
2525,5.5880976,-7.9724855,1.1760237
2550,4.669645,-8.568511,0.97232765
2575,3.6198256,-9.074273,0.85136604
2601,3.3960447,-9.139494,1.0520982
2625,3.1145961,-9.235449,1.0845108
2650,2.8647692,-9.351814,0.71207774
2675,2.4879065,-9.434802,0.9824519
2701,1.8698645,-9.599508,0.72348267
2725,1.6675104,-9.655904,0.3915675
2750,1.2335421,-9.702452,0.7149733
2775,0.583449,-9.761413,0.73811036
2800,0.37553182,-9.775663,0.6824695
2825,0.23193145,-9.780432,0.6780544
2851,0.12932181,-9.782629,0.6736658
2875,-0.048093244,-9.790232,0.5651822
2900,-0.15648487,-9.794435,0.4636201
2925,-0.3014506,-9.79883,0.24990714
2951,-0.33809322,-9.799738,0.14567588
2975,-0.31314543,-9.801642,0.011173414
3000,-0.27261418,-9.802646,-0.06491907
3025,-0.24167317,-9.801915,-0.18556382
3050,-0.24646296,-9.798898,-0.3020621
3076,-0.44807515,-9.7844715,-0.48345724
3100,-0.5890665,-9.7727785,-0.56231123
3125,-0.5951995,-9.745037,-0.9221585
3150,-0.4848989,-9.733608,-1.09185
3175,-0.45705608,-9.680188,-1.5018122
3201,-0.6311611,-9.694379,-1.3383012
3225,-0.66399795,-9.700852,-1.2739518
3250,-0.65741724,-9.665834,-1.5198119
3275,-1.1819992,-9.511661,-2.0740259
3300,-1.0695868,-9.476815,-2.2839308
3326,-0.897582,-9.444559,-2.4829483
3350,-0.8044068,-9.410025,-2.6409745
3375,-0.7747903,-9.363894,-2.8084826
3400,-0.72869766,-9.216351,-3.2708216
3426,-0.6966677,-9.126332,-3.520667
3450,-0.6948345,-9.024623,-3.774092
3475,-0.74853736,-8.8974905,-4.0552125
3501,-0.76963437,-8.394637,-5.0108004
3525,-0.8104061,-8.185832,-5.3390813
3550,-0.81403965,-7.999827,-5.6134214
3576,-0.7405672,-7.864009,-5.8119974
3600,-0.7516431,-7.59978,-6.152135
3625,-1.0198597,-7.5005865,-6.2346992
3651,-1.1824093,-7.4865937,-6.222798
3675,-0.7803511,-7.678036,-6.0505533
3700,-1.3941128,-7.749861,-5.845211
3725,-1.6066226,-7.948538,-5.5145173
3751,-1.5557115,-8.345062,-4.9102025
3775,-1.3029321,-8.575543,-4.5752397
3800,-0.9769472,-8.808749,-4.1978436
3825,-1.1376482,-8.878202,-4.006703
3851,-1.1939969,-8.941506,-3.8463254
3875,-1.1023036,-9.049125,-3.6150603
3900,-0.87674266,-9.17806,-3.3413963
3926,-0.31349,-9.383008,-2.8339496
3950,-0.2257588,-9.439098,-2.6500652
3975,-0.27897704,-9.481131,-2.4901247
4000,-0.48947695,-9.4896555,-2.424301
4026,-0.85770655,-9.509972,-2.2349865
4050,-0.72521687,-9.563665,-2.0446877
4075,-0.5981327,-9.6161375,-1.8282577
4100,-0.51521415,-9.654665,-1.6408501
4125,-0.4804246,-9.636248,-1.7556539
4151,-0.4593165,-9.613181,-1.8831283
