Milliseconds,X,Y,Z
8,-0.042061053,-0.023889214,9.806531
107,-0.043655965,-0.022844983,9.806526
208,-0.043350156,-0.020222206,9.806534
307,-0.04279976,-0.020301476,9.806536
407,-0.044721525,-0.014886768,9.806537
508,-0.045964245,-0.011835617,9.806536
607,-0.048267625,-0.010331478,9.806526
707,-0.04785871,-0.010203623,9.806528
807,-0.04600808,-0.011071294,9.806536
907,-0.04736562,-0.009925658,9.806531
1008,-0.0468114,-0.009822943,9.806534
1107,-0.045357805,-0.008069159,9.806542
1207,-0.046702728,-0.007698102,9.806536
1307,-0.04698988,-0.0055528646,9.806536
1408,-0.04556081,-0.0038151136,9.806543
1507,-0.042503644,-0.0050929138,9.806557
1607,-0.04768739,-0.0061437245,9.806532
1707,-0.048295736,-0.0073593296,9.806528
1807,-0.0498407,-0.0065238583,9.806521
1908,-0.048146453,-0.007234632,9.806529
2007,-0.046042845,-0.006246427,9.80654
2107,-0.047666583,-0.005461929,9.806533
2207,-0.050370254,-0.0069764736,9.806519
2308,-0.046380978,-0.009989918,9.806536
2407,-0.044593107,-0.006854046,9.806546
2507,-0.044428855,-0.005623078,9.806548
2607,-0.044742197,-0.0045667365,9.806547
2707,-0.045298487,-0.0045900038,9.806544
2807,-0.04405333,-0.0042648558,9.80655
2908,-0.043236677,-0.0063318457,9.806553
3007,-0.04609876,-0.011022513,9.806536
3107,-0.025612654,-0.038845684,9.80654
3207,-0.014694891,0.015846718,9.806626
3308,0.04935933,-0.007123205,9.806523
3407,0.4470514,0.039536357,9.796375
3507,0.3007383,1.092085,9.741011
3607,0.323104,1.620244,9.666478
3707,0.5255203,2.7217064,9.406728
3808,0.015088937,3.5909376,9.125531
3907,-0.4835594,5.1617355,8.3242445
4007,-0.7883513,6.4857306,7.313288
4107,-0.91191316,7.466711,6.2918224
4208,-0.5492234,8.493609,4.871072
4307,-0.47114563,8.950273,3.9800787
4407,-0.6853058,9.138776,3.49049
4507,-0.54185116,9.442416,2.5918248
4608,-0.26659083,9.6444,1.7563778
4707,-0.15779825,9.710238,1.362631
4807,-0.16900547,9.732972,1.1878873
4907,-0.10120264,9.798453,0.3878945
5008,-0.08574571,9.80611,-0.056866616
5107,-0.08710239,9.803359,-0.23866466
5207,-0.079719275,9.802206,-0.28422034
5307,-0.07322441,9.796713,-0.43526044
5407,-0.07767591,9.789117,-0.5809787
5508,-0.07604508,9.783259,-0.67264044
5607,-0.07344654,9.780162,-0.716541
5707,-0.07375664,9.785276,-0.64289
5807,-0.07533611,9.787025,-0.61549765
5908,-0.075767405,9.78521,-0.64368117
6007,-0.07691973,9.784708,-0.65111727
6107,-0.076017655,9.784999,-0.64683986
6207,-0.07325841,9.783328,-0.67194456
6308,-0.074487194,9.778795,-0.73485166
6407,-0.07471658,9.779058,-0.73131776
6507,-0.07462318,9.77979,-0.7214785
6607,-0.07580254,9.779704,-0.72251135
6708,-0.078896135,9.778825,-0.73399025
6807,-0.07549789,9.780076,-0.71749866
6907,-0.0727269,9.779447,-0.72630566
7007,-0.074298434,9.779865,-0.7204827
7108,-0.07360617,9.77958,-0.7244147
7207,-0.072999954,9.778817,-0.73471135
7307,-0.074214384,9.778792,-0.7349186
7407,-0.07444889,9.77919,-0.72957903
7507,-0.07585792,9.777866,-0.7469698
7608,-0.07292005,9.778391,-0.74036515
7707,-0.07231464,9.777878,-0.74716693
7807,-0.07650798,9.77763,-0.7499866
7907,-0.079270184,9.777243,-0.75473213
8007,-0.077808835,9.776186,-0.76845884
8108,-0.07769181,9.776291,-0.76713204
8207,-0.075866245,9.776513,-0.76448005
8307,-0.07550904,9.77466,-0.7878521
8407,-0.07283427,9.772456,-0.8149701
8508,-0.0722378,9.773815,-0.7985603
8607,-0.07411767,9.773715,-0.7996214
