Milliseconds,X,Y,Z,cos,headingAccuracy
0,-0.0024622132,1.4158558E-4,0.8397486,0.5429697,0.17453292
101,-0.0025016204,2.3014042E-4,0.8398154,0.5428663,0.17453292
200,-0.0024167916,3.276912E-4,0.8412257,0.5406787,0.17453292
300,-0.0023942594,3.1760434E-4,0.83930457,0.5436562,0.17453292
400,-0.0023269043,6.006627E-4,0.8397533,0.5429628,0.17453292
501,-0.0022973863,7.60464E-4,0.8409897,0.54104567,0.17453292
600,-0.002354062,8.900851E-4,0.8406252,0.54161143,0.17453292
700,-0.0023330015,8.842819E-4,0.84062314,0.5416147,0.17453292
800,-0.0022776437,7.95988E-4,0.84062344,0.54161465,0.17453292
900,-0.0023041859,8.8259304E-4,0.8406199,0.5416199,0.17453292
1001,-0.0022775917,8.717004E-4,0.8406176,0.5416236,0.17453292
1100,-0.0021668323,9.0678944E-4,0.8406018,0.5416485,0.17453292
1200,-0.0022142304,9.5982826E-4,0.8406033,0.5416459,0.17453292
1300,-0.0021672677,0.0010597544,0.84059006,0.5416665,0.17453292
1400,-0.0020579956,0.0010948242,0.8405744,0.5416911,0.17453292
1501,-0.0019622617,9.5562835E-4,0.84057385,0.54169255,0.17453292
1600,-0.0022134918,0.0010536701,0.84059596,0.5416571,0.17453292
1700,-0.002273155,0.0010183302,0.84060574,0.5416417,0.17453292
1800,-0.002316297,0.0010968075,0.8406048,0.5416429,0.17453292
1900,-0.0022633106,0.0010195572,0.8406045,0.54164374,0.17453292
2001,-0.0021458368,0.0010038678,0.84059185,0.5416639,0.17453292
2100,-0.002193762,0.0010823348,0.84059143,0.5416642,0.17453292
2200,-0.0023515022,0.0010920133,0.8406093,0.54163575,0.17453292
2300,-0.0022637546,8.526585E-4,0.8406174,0.54162395,0.17453292
2400,-0.0021004828,9.377897E-4,0.84059155,0.5416646,0.17453292
2500,-0.0020594315,9.860436E-4,0.84058297,0.54167795,0.17453292
2601,-0.0020436752,0.0010399929,0.84057695,0.5416873,0.17453292
2700,-0.0020972206,0.0010915549,0.8405793,0.5416834,0.17453292
2800,-0.0020058064,0.0010339204,0.84057295,0.5416937,0.17453292
2900,-0.0020279132,9.227374E-4,0.84058416,0.5416764,0.17453292
3000,-0.0022801831,8.0058316E-4,0.8406234,0.5416147,0.17453292
3101,-0.0021683534,-9.6244214E-4,0.84181994,0.5397532,0.17453292
3200,-1.8211105E-4,0.0010867289,0.8355468,0.5494182,0.17453292
3300,0.0018524153,-0.0017418107,0.8188935,0.57393986,0.17453292
3400,0.018563123,-0.013389619,0.75614685,0.6540016,0.17453292
3500,0.054761544,0.01865053,0.56120193,0.82565475,0.17453292
3600,0.08348099,0.0133306375,0.34651667,0.93422663,0.17453292
3701,0.14215402,0.013512686,0.27876016,0.94968545,0.17453292
3800,0.16771592,0.08123271,0.4319839,0.8824186,0.17453292
3900,0.20256561,0.18587317,0.5811334,0.7659649,0.17453292
4000,0.22618765,0.2756179,0.645421,0.67550397,0.17453292
4100,0.24769995,0.34329444,0.6650111,0.61526734,0.17453292
4201,0.3062294,0.39732608,0.6496795,0.5712023,0.17453292
4300,0.3203971,0.44092876,0.6514086,0.52782035,0.17453292
4400,0.30195284,0.4804779,0.66243565,0.48902395,0.17453292
4500,0.32336485,0.51311684,0.64725715,0.4617407,0.17453292
4600,0.35472715,0.5334963,0.627393,0.44263792,0.17453292
4701,0.3669153,0.54396534,0.6186787,0.4321013,0.17453292
4800,0.36589366,0.55277157,0.6170575,0.42403468,0.17453292
4900,0.3949849,0.56939423,0.5881041,0.41702592,0.17453292
5000,0.41228762,0.5769907,0.5700485,0.41490397,0.17453292
5100,0.41742152,0.5813156,0.5636943,0.41240788,0.17453292
5201,0.41583645,0.58444095,0.56443703,0.408558,0.17453292
5300,0.42100015,0.5873253,0.5587853,0.4068991,0.17453292
5400,0.42856196,0.5881805,0.5510862,0.40826747,0.17453292
5500,0.4328697,0.58899826,0.54673594,0.40839282,0.17453292
5600,0.43241054,0.5912314,0.54646724,0.40600508,0.17453292
5701,0.42851686,0.59026396,0.5506489,0.40589094,0.17453292
5800,0.42494273,0.5922882,0.5531227,0.4033282,0.17453292
5900,0.42488474,0.59354156,0.5526845,0.40214583,0.17453292
6000,0.42523918,0.59360707,0.55227494,0.40223703,0.17453292
6100,0.42471835,0.59379625,0.552735,0.4018761,0.17453292
6200,0.42582136,0.594084,0.55168885,0.40172103,0.17453292
6301,0.431143,0.5929441,0.5469965,0.40413842,0.17453292
6400,0.43167698,0.5924034,0.5466798,0.4047893,0.17453292
6500,0.42952067,0.5935463,0.5483126,0.4031974,0.17453292
6600,0.43016523,0.5931237,0.5478087,0.4038165,0.17453292
6700,0.4302159,0.5935801,0.54745954,0.40356535,0.17453292
6801,0.42956772,0.59334123,0.5483095,0.40345314,0.17453292
