Milliseconds,X,Y,Z,cos,headingAccuracy
2,0.5736153,-0.41427875,-0.42235535,0.5665285,0.17453292
100,0.5747094,-0.41456288,-0.42130724,0.56599194,0.17453292
201,0.5772443,-0.4147931,-0.41840434,0.5653968,0.17453292
300,0.5800638,-0.41087833,-0.4171661,0.5662838,0.17453292
400,0.57797974,-0.40796,-0.413234,0.57336354,0.17453292
500,0.57493156,-0.40524912,-0.41701353,0.57560974,0.17453292
600,0.5822418,-0.40166903,-0.41449723,0.5725806,0.17453292
700,0.579029,-0.40180278,-0.41201878,0.57751226,0.17453292
802,0.5776234,-0.40086368,-0.41307402,0.5788172,0.17453292
900,0.5850578,-0.39938453,-0.40863445,0.5755148,0.17453292
1001,0.58198947,-0.39940697,-0.4104456,0.5773186,0.17453292
1101,0.58189017,-0.39579132,-0.4091849,0.58079326,0.17453292
1200,0.5759268,-0.39450502,-0.41344965,0.58457977,0.17453292
1301,0.5803667,-0.39353535,-0.40724877,0.5851947,0.17453292
1400,0.58141166,-0.3931734,-0.40792486,0.58392847,0.17453292
1501,0.58112556,-0.39411905,-0.4054035,0.58533007,0.17453292
1601,0.5837816,-0.3889814,-0.40436238,0.58684206,0.17453292
1700,0.58563936,-0.39076054,-0.4022185,0.5852803,0.17453292
1801,0.58953434,-0.38766286,-0.3979327,0.58635855,0.17453292
1900,0.5898721,-0.38636795,-0.39530343,0.58864754,0.17453292
2002,0.5966239,-0.38208035,-0.39009932,0.5881131,0.17453292
2102,0.59808,-0.37589735,-0.38844374,0.5917035,0.17453292
2202,0.6027565,-0.3691027,-0.3828316,0.5948847,0.17453292
2302,0.6094094,-0.36454004,-0.36814898,0.6001642,0.17453292
2401,0.61801624,-0.35911474,-0.35718134,0.60126036,0.17453292
2501,0.6222495,-0.35394973,-0.3518174,0.60311663,0.17453292
2602,0.6269738,-0.35383517,-0.34665006,0.6012805,0.17453292
2702,0.6302092,-0.34631056,-0.34331906,0.60418326,0.17453292
2801,0.6272637,-0.33615214,-0.34183952,0.6137489,0.17453292
2900,0.6268187,-0.32909417,-0.33278078,0.6229384,0.17453292
3002,0.6321095,-0.32612348,-0.32703176,0.62219876,0.17453292
3100,0.63592684,-0.32503825,-0.32242304,0.62128145,3.1415927
3201,0.6402379,-0.3242561,-0.31902543,0.61901224,3.1415927
3300,0.6462592,-0.3167678,-0.3085301,0.6219457,3.1415927
3401,0.63478684,-0.33106112,-0.3274804,0.6166042,3.1415927
3500,0.6361252,-0.32970384,-0.32544148,0.6170316,3.1415927
3601,0.61807936,-0.35610443,-0.35415474,0.604766,3.1415927
3700,0.5929494,-0.3908215,-0.38995847,0.5861757,3.1415927
3800,0.5396106,-0.45532843,-0.4599093,0.5384977,3.1415927
3901,0.33259708,-0.6235769,-0.6254132,0.33074078,3.1415927
4000,0.1199251,-0.7075445,-0.68683136,0.11515863,0.17453292
4101,0.015833458,-0.72384506,-0.6896929,0.011013429,0.17453292
4200,0.040318552,0.7148371,0.6967843,0.043289572,3.1415927
4300,0.0702807,0.6956124,0.7109721,0.07551674,0.17453292
4401,0.08022912,0.68075925,0.7228737,0.087084584,0.17453292
4500,0.0928725,0.68872845,0.71220267,0.0989708,0.17453292
4601,0.084934846,0.70395803,0.6996399,0.087938376,0.17453292
4700,0.09305674,0.7014159,0.700672,0.09173324,0.17453292
4801,0.088543445,0.7021421,0.7009518,0.08844827,0.17453292
4902,0.08551535,0.70694816,0.6968234,0.08572356,0.17453292
5002,0.08854121,0.710266,0.69300735,0.08615973,0.17453292
5102,0.07826847,0.7052448,0.7002046,0.07884999,0.17453292
5201,0.08083319,0.7112656,0.6937613,0.07913616,0.17453292
5302,0.07961958,0.7172126,0.6878393,0.0783826,0.17453292
5402,0.07112583,0.712664,0.69439137,0.0697979,0.17453292
5502,0.054051436,0.72099847,0.6885346,0.056211356,0.17453292
5602,0.033804573,0.71964127,0.69267267,0.03432537,0.17453292
5702,0.015629044,0.71358454,0.70018417,0.017175732,0.17453292
5802,-7.955519E-4,0.720436,0.69351727,0.002284627,0.17453292
5901,0.015512229,-0.73106384,-0.6820533,0.010403786,0.17453292
6001,0.02555344,-0.73859775,-0.67312205,0.026964538,0.17453292
6101,0.04852344,-0.7410135,-0.6683738,0.04267197,0.17453292
6201,0.06446074,-0.74111336,-0.66592914,0.055983797,0.17453292
6300,0.07638531,-0.7441066,-0.6601083,0.06875814,0.17453292
6401,0.089891925,-0.74394274,-0.65738314,0.07947348,0.17453292
6501,0.1001289,-0.73843145,-0.66101074,0.08807951,0.17453292
6600,0.10951834,-0.73129463,-0.6658602,0.09921761,0.17453292
6701,0.114317566,-0.7260336,-0.6698425,0.105440445,0.17453292
6800,0.12807585,-0.71912813,-0.67275774,0.11767862,0.17453292
6901,0.13897274,-0.7100152,-0.6786906,0.12626977,0.17453292
7000,0.14998212,-0.70119274,-0.68309116,0.13863827,0.17453292
7100,0.15434772,-0.69816977,-0.6828823,0.14969113,0.17453292
7201,0.16046222,-0.69290483,-0.68517786,0.1570542,0.17453292
7300,0.1773382,-0.6914484,-0.6802613,0.16641761,0.17453292
7402,0.1884235,-0.6892354,-0.6760093,0.18017375,0.17453292
7501,0.20089795,-0.6833463,-0.67443866,0.19444896,0.17453292
7602,0.21497427,-0.67782927,-0.67132425,0.20894328,0.17453292
7700,0.22772273,-0.6675626,-0.67295456,0.22278844,0.17453292
7802,0.24278532,-0.6604619,-0.6692401,0.23866937,0.17453292
7901,0.26046416,-0.65310174,-0.66294825,0.25713068,0.17453292
8002,0.2776592,-0.6444853,-0.6574976,0.27430093,0.17453292
8101,0.29329246,-0.6372289,-0.65063834,0.2908412,0.17453292
8200,0.30976456,-0.6319616,-0.6406841,0.30691096,0.17453292
8302,0.3288466,-0.62434,-0.63062984,0.32305646,0.17453292
8402,0.34943923,-0.61719733,-0.61839217,0.33845356,0.17453292
8502,0.3646087,-0.60339814,-0.6129049,0.35681748,0.17453292
8602,0.37812218,-0.5877918,-0.60586405,0.38006994,0.17453292
8700,0.3939263,-0.573122,-0.5956828,0.40188953,0.17453292
8802,0.41387823,-0.5622517,-0.5823349,0.41649005,0.17453292
8900,0.44526935,-0.5590994,-0.55772746,0.421999,0.17453292
9001,0.4608787,-0.55122757,-0.53959227,0.43883842,0.17453292
9101,0.4766546,-0.5334929,-0.5314665,0.45357367,0.17453292
9200,0.48861322,-0.5172635,-0.52381605,0.468308,0.17453292
9301,0.49985933,-0.5041446,-0.5094665,0.4862332,0.17453292
9401,0.5240502,-0.49714383,-0.48503625,0.49290895,0.17453292
9500,0.54301137,-0.48497856,-0.46775466,0.5011387,0.17453292
9601,0.5308095,-0.46196842,-0.47447097,0.5288702,0.17453292
9700,0.5387806,-0.44965565,-0.46554413,0.53925306,0.17453292
9800,0.55638665,-0.44323483,-0.44526106,0.54380083,0.17453292
9901,0.56043136,-0.4368746,-0.44024932,0.5488514,0.17453292
10000,0.5650517,-0.43192843,-0.43511868,0.5521107,0.17453292
10100,0.5698083,-0.42973924,-0.43009746,0.5528642,0.17453292
10201,0.5742017,-0.4266649,-0.4249366,0.5546876,0.17453292
10301,0.5745995,-0.42530283,-0.42458674,0.5555889,0.17453292
10400,0.57765615,-0.42282742,-0.42139024,0.556741,0.17453292
10501,0.5784316,-0.42083728,-0.42013687,0.55838865,0.17453292
