Milliseconds,X,Y,Z
3,-9.80661,-0.024254762,0.014192265
102,-9.8066225,-0.020629553,0.010595217
201,-9.806607,-0.02373966,0.016393904
302,-9.806599,-0.022341387,0.022664856
401,-9.806592,-0.019277671,0.027662834
501,-9.806627,-0.01918327,0.008863618
602,-9.806631,0.0019949258,-0.019492354
701,-9.806528,-0.023202604,-0.043079056
802,-9.806463,-0.033270717,-0.050517313
901,-9.80542,-0.027564302,-0.15286523
1001,-9.805631,-0.025452562,-0.13908662
1102,-9.806352,-0.052059494,-0.05598553
1201,-9.804704,-0.058108866,-0.18652713
1303,-9.804879,-0.081957094,-0.16736104
1403,-9.803855,-0.016533976,-0.23354891
1501,-9.799273,-0.01949048,-0.379817
1602,-9.796741,-0.11274088,-0.42609066
1701,-9.794526,-0.030565547,-0.48652947
1802,-9.800547,-0.07251207,-0.33825412
1903,-9.800416,-0.014671364,-0.34931988
2003,-9.80205,-0.049557593,-0.29623184
2101,-9.8048935,-0.011638214,-0.18525971
2201,-9.806575,-0.027485276,-0.026938649
2302,-9.806098,-0.03419592,0.09831876
2402,-9.806092,-0.084424436,0.061766278
2501,-9.806115,0.010222034,0.10188818
2602,-9.806229,-0.03751422,0.0828454
2702,-9.8058195,-0.0815246,0.09815851
2801,-9.804623,-0.031381406,0.19692333
2901,-9.799336,-0.11710456,0.36011323
3002,-9.795727,-0.07457046,0.45667735
3101,-9.795513,-0.11326851,0.45329165
3201,-9.797917,-0.05068414,0.4106479
3302,-9.7996,-0.036504965,0.36999962
3401,-9.799953,-0.06347791,0.3567617
3501,-9.80001,-0.11082572,0.34337956
3602,-9.801464,-0.003823273,0.3188552
3702,-9.800174,-0.06693107,0.3499999
3801,-9.799287,-0.05356386,0.37616432
3902,-9.795541,-0.043515254,0.46462408
4001,-9.793679,-0.03528052,0.502977
4101,-9.79758,-0.031937614,0.42047754
4202,-9.800816,-0.045582935,0.33515576
4301,-9.800109,-0.0358134,0.35631737
4401,-9.787931,0.0077018132,0.6055793
4502,-9.804869,-0.1307668,0.1335577
4603,-9.806283,-0.050616797,0.06813394
4702,-9.806397,-0.057760857,0.040314533
4801,-9.805812,-0.054872796,-0.11587068
4901,-9.806347,-0.032990362,0.069735974
5002,-9.801411,-0.018551655,0.31997514
5101,-9.801695,-0.032117683,0.3100357
5201,-9.804014,-0.011402143,0.22705664
5302,-9.80373,0.009039116,0.239139
5401,-9.804361,0.007200771,0.2117253
5501,-9.805926,-0.003572031,0.119097196
5601,-9.805372,-0.0015996882,0.15831187
5701,-9.802611,0.0059835087,0.28135642
5802,-9.801468,0.024829524,0.31780538
5901,-9.799985,0.014854386,0.3611886
6001,-9.794617,-7.8433903E-4,0.4856712
6102,-9.79456,-0.008184588,0.48673278
6201,-9.796614,0.04503453,0.44126958
6301,-9.791932,0.024756854,0.536507
6402,-9.776476,-0.020583345,0.768434
6501,-9.776317,-0.029255826,0.77017385
6601,-9.773022,0.0108665135,0.81136805
6702,-9.75229,0.020421214,1.030932
6801,-9.756499,0.0028049226,0.9905028
6901,-9.762881,0.030758003,0.924986
7002,-9.756151,0.054399274,0.99244505
7101,-9.751109,0.040704783,1.0414433
7202,-9.757535,0.045414258,0.9791983
7302,-9.752114,0.017287271,1.0326461
7401,-9.769126,0.018507948,0.8568686
7501,-9.77917,0.04755956,0.7320935
7601,-9.759019,5.3857707E-6,0.9653698
7702,-9.7801075,0.009762774,0.7209706
7801,-9.770552,0.030575844,0.8401
7901,-9.769031,-0.038611177,0.8572847
8002,-9.776535,0.020771798,0.767669
8101,-9.773109,0.010933293,0.8103124
8201,-9.757814,0.060113687,0.9756198
8301,-9.738293,0.012114786,1.1558073
8402,-9.704757,-0.06450275,1.408518
8501,-9.739732,-0.0503418,1.1425731
8602,-9.728632,0.0018774221,1.2345438
8701,-9.757262,-0.0051462837,0.9829534
8802,-9.783577,-0.016669828,0.67210466
8901,-9.798901,-0.011034828,0.38962048
9001,-9.804347,-0.031201899,0.2102173
9101,-9.806194,-0.025777929,-0.09094812
9202,-9.802198,0.01698126,-0.29497275
9301,-9.802978,-0.05189535,-0.26329523
9401,-9.790258,-0.09682921,-0.55843127
9502,-9.775497,-0.07794743,-0.77714807
9602,-9.775768,-0.04799321,-0.77617353
9701,-9.775121,-0.08113764,-0.7815444
9802,-9.785802,-0.09655497,-0.6317763
9901,-9.780616,-0.05326057,-0.71211135
10003,-9.785128,-0.041463356,-0.6480361
10101,-9.782707,-0.031644218,-0.68411875
10203,-9.795039,-0.051234648,-0.47432163
10303,-9.800023,-0.04263732,-0.35793102
10402,-9.798,-0.037068374,-0.41012105
10502,-9.796024,-0.0329283,-0.45520386
10601,-9.799345,-0.029503824,-0.3773043
10702,-9.799465,-0.027911711,-0.37429488
10801,-9.798616,-0.026284844,-0.39600077
10901,-9.799296,-0.026541932,-0.37877148
